


Wspolczynnik ekspansji: 1.41
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

1;-32;-4,13458;7,29024;0;-0,0170087;  5,78595e-09;  18;lokalne;5,23941e-13;  -7,44939e-18;  6;lokalne
2;35;-20,3992;-4,29024;0;5,05928;  0,000511926;  19;lokalne;-12,3447;  0,00304785;  4;lokalne
3;1;-4;6;0;1,94769;  7,58701e-05;  18;lokalne;3,75591e-13;  -7,44939e-18;  6;lokalne
4;70;60,0595;62,95;0;62,6859;  -0,921173;  15;globalne;62,727;  -0,921198;  9;globalne
5;25;-14,2902;-2,86542;0;-0,43418;  3,77025e-06;  18;lokalne;-8,57783;  0,00147158;  4;lokalne
6;-21;-1,23729;6,86542;0;-0,127129;  3,23236e-07;  17;lokalne;6,77702e-13;  -7,44939e-18;  6;lokalne
7;59;64;66,05;0;64,0088;  -0,896734;  14;globalne;65,025;  -0,844338;  4;globalne
8;63;58;68;0;62,7213;  -0,921198;  18;globalne;62,727;  -0,921198;  8;globalne
9;-35;4,29024;20,3992;0;4,29647;  0,000369194;  19;lokalne;12,3447;  0,00304785;  4;lokalne
10;6;-1,05;1;0;0,216953;  9,4137e-07;  14;lokalne;2,35897e-13;  -7,44939e-18;  6;lokalne
11;46;60,0161;65,7627;0;62,729;  -0,921198;  16;globalne;62,727;  -0,921198;  8;globalne
12;-18;1,76271;9,86542;0;1,77092;  6,2723e-05;  17;lokalne;5,81406;  0,000676067;  4;lokalne
13;-72;6,11293;38,1392;0;6,12059;  0,000749231;  20;lokalne;22,1261;  0,0097913;  4;lokalne
14;62;57;67;0;63,1803;  -0,918113;  18;globalne;62,727;  -0,921198;  9;globalne
15;-8;-0,95;1,9405;0;0,154064;  4,74712e-07;  15;lokalne;2,58664e-13;  -7,44939e-18;  6;lokalne
16;96;56,7098;68,1346;0;63,7707;  -0,904925;  18;globalne;62,727;  -0,921198;  9;globalne
17;43;62,7627;70,8654;0;62,7709;  -0,921169;  17;globalne;66,8141;  -0,695298;  4;globalne
18;-72;6,11293;38,1392;0;6,12059;  0,000749231;  20;lokalne;22,1261;  0,0097913;  4;lokalne
19;-63;-7,60076;15,1129;0;1,07509;  2,31165e-05;  19;lokalne;2,97512e-12;  -7,44939e-18;  6;lokalne
20;92;52,7098;64,1346;0;62,3034;  -0,918511;  18;globalne;58,4222;  -0,678352;  4;globalne
21;-95;60,2963;123,968;0;63,6285;  -0,909038;  21;globalne;92,1321;  0,169946;  4;globalne
22;3;-4,05;-2;0;-0,450769;  4,06385e-06;  14;lokalne;-3,025;  0,000183012;  4;lokalne
23;54;63,9405;68,0161;0;63,9472;  -0,899009;  16;globalne;65,9783;  -0,772479;  4;globalne
24;-7;0,05;2,9405;0;0,05;  5e-08;  15;lokalne;1,49525;  4,47155e-05;  4;lokalne
25;83;55,1346;63,2373;0;63,2373;  -0,91729;  17;globalne;59,1859;  -0,749814;  4;globalne
26;-78;0,112926;32,1392;0;0,120586;  2,90819e-07;  20;lokalne;16,1261;  0,00520101;  4;lokalne
27;17;-10,8654;-2,76271;0;0,33173;  2,20089e-06;  17;lokalne;-6,81406;  0,000928629;  4;lokalne
28;19;-8,86542;-0,762708;0;-0,9512;  1,80956e-05;  17;lokalne;-4,81406;  0,000463504;  4;lokalne
29;-4;1;3,05;0;1,0088;  2,03535e-05;  14;lokalne;2,025;  8,20125e-05;  4;lokalne
30;-52;3,39924;26,1129;0;3,40803;  0,000232293;  19;lokalne;14,7561;  0,00435484;  4;lokalne
31;27;-12,2902;-0,865418;0;0,164288;  5,39813e-07;  18;lokalne;-6,57783;  0,000865357;  4;lokalne
32;72;57,9839;62,0595;0;63,0216;  -0,919895;  16;globalne;60,0217;  -0,81735;  4;globalne
33;39;-16,3992;-0,29024;0;-0,521858;  5,44671e-06;  19;lokalne;-8,34474;  0,00139269;  4;lokalne
34;-30;-2,13458;9,29024;0;-0,0744114;  1,10741e-07;  18;lokalne;1,46567e-12;  -7,44939e-18;  6;lokalne
35;13;-6,76271;-1,0161;0;0,34047;  2,3184e-06;  16;lokalne;-3,88941;  0,00030255;  4;lokalne
36;-32;-4,13458;7,29024;0;-0,0170087;  5,78595e-09;  18;lokalne;5,23941e-13;  -7,44939e-18;  6;lokalne
37;0;-5;5;0;1,18034;  2,7864e-05;  18;lokalne;2,33904e-13;  -7,44939e-18;  6;lokalne
38;-64;-8,60076;14,1129;0;0,0750934;  1,1278e-07;  19;lokalne;1,4091e-12;  -7,44939e-18;  6;lokalne
39;-5;0;2,05;0;0;  -7,44939e-18;  14;lokalne;1,025;  2,10125e-05;  4;lokalne
40;4;-3,05;-1;0;-0,15443;  4,76974e-07;  14;lokalne;-2,025;  8,20125e-05;  4;lokalne
41;-88;-9,88707;22,1392;0;-2,50258;  0,000125258;  20;lokalne;2,33954e-13;  -7,44939e-18;  7;lokalne
42;23;-4,86542;3,23729;0;-0,0456855;  4,17432e-08;  17;lokalne;6,81711e-13;  -7,44939e-18;  6;lokalne
43;34;-21,3992;-5,29024;0;0,862699;  1,4885e-05;  19;lokalne;-13,3447;  0,00356164;  4;lokalne
44;-26;1,86542;13,2902;0;1,87257;  7,01305e-05;  18;lokalne;7,57783;  0,00114847;  4;lokalne
45;-35;4,29024;20,3992;0;4,29647;  0,000369194;  19;lokalne;12,3447;  0,00304785;  4;lokalne
46;42;-13,3992;2,70976;0;0,0121272;  2,9414e-09;  19;lokalne;1,1937e-12;  -7,44939e-18;  6;lokalne
47;12;-7,76271;-2,0161;0;-0,875838;  1,53418e-05;  16;lokalne;-4,88941;  0,000478126;  4;lokalne
48;-46;-6,70976;9,39924;0;-0,69982;  9,79497e-06;  19;lokalne;4,96972e-13;  -7,44939e-18;  6;lokalne
49;-31;-3,13458;8,29024;0;-0,539074;  5,81201e-06;  18;lokalne;9,00522e-13;  -7,44939e-18;  6;lokalne
50;48;62,0161;67,7627;0;62,7305;  -0,921198;  16;globalne;62,727;  -0,921198;  9;globalne
51;-55;0,399238;23,1129;0;0,408028;  3,32974e-06;  19;lokalne;11,7561;  0,00276411;  4;lokalne
52;-37;2,29024;18,3992;0;2,29024;  0,000104904;  19;lokalne;10,3447;  0,00214027;  4;lokalne
53;58;63;65,05;0;63,0088;  -0,920005;  14;globalne;64,025;  -0,896118;  4;globalne
54;-62;-6,60076;16,1129;0;0,0269184;  1,4492e-08;  19;lokalne;6,3298e-12;  -7,44939e-18;  6;lokalne
55;-40;-0,70976;15,3992;0;-0,0243726;  1,18805e-08;  19;lokalne;9,95156e-12;  -7,44939e-18;  6;lokalne
56;24;-15,2902;-3,86542;0;-1,43418;  4,11375e-05;  18;lokalne;-9,57783;  0,0018347;  4;lokalne
57;42;-13,3992;2,70976;0;0,0121272;  2,9414e-09;  19;lokalne;1,1937e-12;  -7,44939e-18;  6;lokalne
58;30;-9,29024;2,13458;0;0,467698;  4,37482e-06;  18;lokalne;7,0974e-13;  -7,44939e-18;  6;lokalne
59;79;59,2373;64,9839;0;62,7889;  -0,921141;  16;globalne;62,727;  -0,921198;  9;globalne
60;17;-10,8654;-2,76271;0;0,33173;  2,20089e-06;  17;lokalne;-6,81406;  0,000928629;  4;lokalne
61;-64;-8,60076;14,1129;0;0,0750934;  1,1278e-07;  19;lokalne;1,4091e-12;  -7,44939e-18;  6;lokalne
62;91;51,7098;63,1346;0;62,736;  -0,921197;  18;globalne;57,4222;  -0,57598;  4;globalne
63;-57;-1,60076;21,1129;0;-0,412072;  3,39606e-06;  19;lokalne;2,33911e-13;  -7,44939e-18;  7;lokalne
64;-11;-1,0595;3,0161;0;-0,155984;  4,86621e-07;  16;lokalne;2,96882e-13;  -7,44939e-18;  6;lokalne
65;7;-2,9405;-0,05;0;-0,158747;  5,04014e-07;  15;lokalne;-1,49525;  4,47155e-05;  4;lokalne
66;-59;-3,60076;19,1129;0;-0,411626;  3,38873e-06;  19;lokalne;5,06954e-11;  -7,44939e-18;  6;lokalne
67;43;62,7627;70,8654;0;62,7709;  -0,921169;  17;globalne;66,8141;  -0,695298;  4;globalne
68;-35;4,29024;20,3992;0;4,29647;  0,000369194;  19;lokalne;12,3447;  0,00304785;  4;lokalne
69;-51;4,39924;27,1129;0;4,40803;  0,000388614;  19;lokalne;15,7561;  0,00496508;  4;lokalne
70;-53;2,39924;25,1129;0;2,40803;  0,000115972;  19;lokalne;13,7561;  0,0037846;  4;lokalne
71;-94;-15,8871;16,1392;0;-0,766335;  1,17454e-05;  20;lokalne;2,51139e-13;  -7,44939e-18;  6;lokalne
72;-9;0,9405;5,0161;0;0,947181;  1,7943e-05;  16;lokalne;2,9783;  0,000177406;  4;lokalne
73;30;-9,29024;2,13458;0;0,467698;  4,37482e-06;  18;lokalne;7,0974e-13;  -7,44939e-18;  6;lokalne
74;71;61,0595;63,95;0;62,7374;  -0,921197;  15;globalne;62,727;  -0,921198;  7;globalne
75;51;60,9405;65,0161;0;62,8646;  -0,920914;  16;globalne;62,727;  -0,921198;  7;globalne
76;-93;-14,8871;17,1392;0;0,233665;  1,09199e-06;  20;lokalne;4,67586e-13;  -7,44939e-18;  6;lokalne
77;2;-3;7;0;-0,728185;  1,06051e-05;  18;lokalne;6,17223e-13;  -7,44939e-18;  6;lokalne
78;94;54,7098;66,1346;0;61,6064;  -0,902555;  18;globalne;62,727;  -0,921198;  9;globalne
79;49;63,0161;68,7627;0;63,0255;  -0,91986;  16;globalne;65,8894;  -0,779983;  4;globalne
80;-70;8,11293;40,1392;0;8,12059;  0,00131888;  20;lokalne;24,1261;  0,0116416;  4;lokalne
81;-76;2,11293;34,1392;0;2,12059;  8,99377e-05;  20;lokalne;18,1261;  0,00657109;  4;lokalne
82;-15;-0,983895;4,76271;0;0,051823;  5,37126e-08;  16;lokalne;3,98295e-13;  -7,44939e-18;  6;lokalne
83;55;62,05;64,9405;0;62,7322;  -0,921198;  15;globalne;62,727;  -0,921198;  8;globalne
84;57;62;64,05;0;62,7072;  -0,921192;  14;globalne;62,727;  -0,921198;  7;globalne
85;-59;-3,60076;19,1129;0;-0,411626;  3,38873e-06;  19;lokalne;5,06954e-11;  -7,44939e-18;  6;lokalne
86;67;59,95;62;0;62,3591;  -0,91917;  14;globalne;60,975;  -0,876256;  4;globalne
87;77;57,2373;62,9839;0;62,7679;  -0,921173;  16;globalne;60,1106;  -0,823728;  4;globalne
88;32;-7,29024;4,13458;0;-0,393583;  3,09816e-06;  18;lokalne;1,79032e-12;  -7,44939e-18;  6;lokalne
89;9;-5,0161;-0,9405;0;0,02161;  9,33987e-09;  16;lokalne;-2,9783;  0,000177406;  4;lokalne
90;45;64,7627;72,8654;0;64,7709;  -0,859967;  17;globalne;68,8141;  -0,480836;  4;globalne
91;-60;-4,60076;18,1129;0;-0,0213177;  9,08886e-09;  19;lokalne;2,67582e-11;  -7,44939e-18;  6;lokalne
92;-73;5,11293;37,1392;0;5,12059;  0,000524408;  20;lokalne;21,1261;  0,00892624;  4;lokalne
93;24;-15,2902;-3,86542;0;-1,43418;  4,11375e-05;  18;lokalne;-9,57783;  0,0018347;  4;lokalne
94;38;-17,3992;-1,29024;0;-1,52186;  4,6321e-05;  19;lokalne;-9,34474;  0,00174648;  4;lokalne
95;39;-16,3992;-0,29024;0;-0,521858;  5,44671e-06;  19;lokalne;-8,34474;  0,00139269;  4;lokalne
96;19;-8,86542;-0,762708;0;-0,9512;  1,80956e-05;  17;lokalne;-4,81406;  0,000463504;  4;lokalne
97;-17;2,76271;10,8654;0;2,77092;  0,00015356;  17;lokalne;6,81406;  0,000928629;  4;lokalne
98;30;-9,29024;2,13458;0;0,467698;  4,37482e-06;  18;lokalne;7,0974e-13;  -7,44939e-18;  6;lokalne
99;42;-13,3992;2,70976;0;0,0121272;  2,9414e-09;  19;lokalne;1,1937e-12;  -7,44939e-18;  6;lokalne
100;-66;-10,6008;12,1129;0;-2,12675;  9,0461e-05;  19;lokalne;3,60551e-13;  -7,44939e-18;  6;lokalne



Wspolczynnik ekspansji: 2.15
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

