t(s); V(A); V(B); temp(B);

0; 5; 1; 20; 
1; 4,99129; 1,00869; 20,6445; 
2; 4,98258; 1,01733; 21,2712; 
3; 4,97389; 1,02592; 21,8808; 
4; 4,9652; 1,03446; 22,4738; 
5; 4,95652; 1,04295; 23,0509; 
6; 4,94785; 1,05139; 23,6127; 
7; 4,93918; 1,05978; 24,1597; 
8; 4,93052; 1,06812; 24,6924; 
9; 4,92187; 1,07642; 25,2113; 
10; 4,91323; 1,08466; 25,7169; 
11; 4,90459; 1,09287; 26,2097; 
12; 4,89596; 1,10102; 26,69; 
13; 4,88734; 1,10913; 27,1584; 
14; 4,87873; 1,11719; 27,6152; 
15; 4,87013; 1,12521; 28,0607; 
16; 4,86153; 1,13318; 28,4954; 
17; 4,85294; 1,1411; 28,9196; 
18; 4,84436; 1,14898; 29,3336; 
19; 4,83578; 1,15682; 29,7378; 
20; 4,82722; 1,16462; 30,1324; 
21; 4,81866; 1,17237; 30,5178; 
22; 4,8101; 1,18007; 30,8942; 
23; 4,80156; 1,18774; 31,262; 
24; 4,79302; 1,19536; 31,6213; 
25; 4,78449; 1,20293; 31,9724; 
26; 4,77597; 1,21047; 32,3157; 
27; 4,76746; 1,21797; 32,6512; 
28; 4,75895; 1,22542; 32,9793; 
29; 4,75045; 1,23283; 33,3001; 
30; 4,74196; 1,2402; 33,6139; 
31; 4,73348; 1,24753; 33,9208; 
32; 4,725; 1,25482; 34,2211; 
33; 4,71654; 1,26207; 34,5149; 
34; 4,70807; 1,26928; 34,8025; 
35; 4,69962; 1,27645; 35,0839; 
36; 4,69118; 1,28359; 35,3594; 
37; 4,68274; 1,29068; 35,6291; 
38; 4,67431; 1,29773; 35,8932; 
39; 4,66589; 1,30475; 36,1518; 
40; 4,65747; 1,31173; 36,4051; 
41; 4,64906; 1,31867; 36,6532; 
42; 4,64066; 1,32557; 36,8962; 
43; 4,63227; 1,33243; 37,1344; 
44; 4,62389; 1,33926; 37,3677; 
45; 4,61551; 1,34605; 37,5964; 
46; 4,60714; 1,3528; 37,8205; 
47; 4,59878; 1,35952; 38,0401; 
48; 4,59042; 1,3662; 38,2555; 
49; 4,58208; 1,37284; 38,4666; 
50; 4,57374; 1,37945; 38,6736; 
51; 4,5654; 1,38602; 38,8766; 
52; 4,55708; 1,39256; 39,0757; 
53; 4,54876; 1,39906; 39,2709; 
