t(s); V(A); V(B); temp(B);

0; 5; 1; 20; 
1; 4,9913; 1,00868; 20,6436; 
2; 4,98261; 1,0173; 21,2695; 
3; 4,97393; 1,02588; 21,8782; 
4; 4,96525; 1,03441; 22,4705; 
5; 4,95658; 1,04289; 23,0468; 
6; 4,94792; 1,05131; 23,6079; 
7; 4,93926; 1,05969; 24,1542; 
8; 4,93062; 1,06803; 24,6863; 
9; 4,92198; 1,07631; 25,2046; 
10; 4,91335; 1,08455; 25,7096; 
11; 4,90473; 1,09274; 26,2018; 
12; 4,89611; 1,10088; 26,6816; 
13; 4,8875; 1,10898; 27,1494; 
14; 4,8789; 1,11703; 27,6057; 
15; 4,87031; 1,12503; 28,0508; 
16; 4,86172; 1,13299; 28,485; 
17; 4,85314; 1,14091; 28,9087; 
18; 4,84457; 1,14878; 29,3223; 
19; 4,83601; 1,1566; 29,7261; 
20; 4,82745; 1,16439; 30,1203; 
21; 4,81891; 1,17213; 30,5053; 
22; 4,81037; 1,17982; 30,8814; 
23; 4,80183; 1,18748; 31,2488; 
24; 4,79331; 1,19509; 31,6078; 
25; 4,78479; 1,20265; 31,9586; 
26; 4,77628; 1,21018; 32,3015; 
27; 4,76778; 1,21766; 32,6368; 
28; 4,75929; 1,22511; 32,9646; 
29; 4,7508; 1,23251; 33,2851; 
30; 4,74232; 1,23987; 33,5986; 
31; 4,73385; 1,24719; 33,9053; 
32; 4,72538; 1,25447; 34,2053; 
33; 4,71693; 1,26171; 34,4989; 
34; 4,70848; 1,26891; 34,7862; 
35; 4,70003; 1,27607; 35,0674; 
36; 4,6916; 1,2832; 35,3427; 
37; 4,68317; 1,29028; 35,6122; 
38; 4,67475; 1,29732; 35,8761; 
39; 4,66634; 1,30433; 36,1346; 
40; 4,65794; 1,3113; 36,3877; 
41; 4,64954; 1,31823; 36,6356; 
42; 4,64115; 1,32512; 36,8785; 
43; 4,63277; 1,33197; 37,1164; 
44; 4,6244; 1,33879; 37,3496; 
45; 4,61603; 1,34557; 37,5781; 
46; 4,60768; 1,35232; 37,8021; 
47; 4,59932; 1,35902; 38,0216; 
48; 4,59098; 1,3657; 38,2368; 
49; 4,58265; 1,37233; 38,4478; 
50; 4,57432; 1,37893; 38,6547; 
51; 4,566; 1,38549; 38,8576; 
52; 4,55768; 1,39202; 39,0565; 
53; 4,54938; 1,39852; 39,2517; 
