


Wspolczynnik ekspansji: 1.38
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

1;0;-5;5;0;0,00313087;  1,96047e-10;  30;lokalne;2,24821e-13;  -7,15717e-18;  10;lokalne
2;17;-8,0245;-1,1337;5;-1,14068;  2,60229e-05;  28;lokalne;2,33278e-14;  -7,15717e-18;  5;lokalne
3;-19;-0,866303;6,0245;5;-0,000589124;  6,94133e-12;  28;lokalne;4,89096e-13;  -7,15717e-18;  12;lokalne
4;-48;-0,343339;17,7662;8;6,91077e-05;  9,55105e-14;  32;lokalne;1,351e-11;  -7,15717e-18;  12;lokalne
5;29;-5,53381;3,9755;6;-0,00357481;  2,55586e-10;  28;lokalne;9,71228e-13;  -7,15717e-18;  12;lokalne
6;37;-10,6567;2,46619;7;0,00103153;  2,1281e-11;  30;lokalne;8,87349e-13;  -7,15717e-18;  10;lokalne
7;-19;-0,866303;6,0245;5;-0,000589124;  6,94133e-12;  28;lokalne;4,89096e-13;  -7,15717e-18;  12;lokalne
8;-41;-6,46619;6,65666;7;0,000738844;  1,09178e-11;  30;lokalne;2,35495e-13;  -7,15717e-18;  12;lokalne
9;30;-17,6567;-4,53381;7;-4,54203;  0,000412601;  30;lokalne;4,91276e-15;  -7,15717e-18;  5;lokalne
10;-28;-2,9755;6,53381;6;0,00158059;  4,99651e-11;  28;lokalne;5,20498e-13;  -7,15717e-18;  12;lokalne
11;-14;-0,85964;4,1337;4;-0,000131207;  3,44296e-13;  26;lokalne;3,35779e-13;  -7,15717e-18;  12;lokalne
12;48;61,1404;66,1337;4;62,7448;  -0,921148;  26;globalne;62,7482;  -0,921148;  22;globalne
13;78;59,8663;64,8596;4;62,7477;  -0,921148;  26;globalne;62,7482;  -0,921148;  24;globalne
14;33;-14,6567;-1,53381;7;-1,54203;  4,75571e-05;  30;lokalne;9,82553e-15;  -7,15717e-18;  5;lokalne
15;-37;-2,46619;10,6567;7;-0,00103153;  2,1281e-11;  30;lokalne;2,21517e-12;  -7,15717e-18;  12;lokalne
16;6;-3,522;-0,9;2;-0,906955;  1,64513e-05;  24;lokalne;6,97702e-14;  -7,15717e-18;  5;lokalne
17;39;-8,65666;4,46619;7;-0,00396225;  3,13989e-10;  30;lokalne;2,62897e-12;  -7,15717e-18;  12;lokalne
18;19;-6,0245;0,866303;5;0,000589124;  6,94133e-12;  28;lokalne;3,16301e-13;  -7,15717e-18;  10;lokalne
19;86;51,4662;60,9755;6;60,9659;  -0,874678;  28;globalne;nan;  nan;  4;globalne
20;19;-6,0245;0,866303;5;0,000589124;  6,94133e-12;  28;lokalne;3,16301e-13;  -7,15717e-18;  10;lokalne
21;30;-17,6567;-4,53381;7;-4,54203;  0,000412601;  30;lokalne;4,91276e-15;  -7,15717e-18;  5;lokalne
22;73;59,8596;63,478;3;62,7486;  -0,921148;  24;globalne;62,7482;  -0,921148;  22;globalne
23;69;59,478;62,1;2;62,093;  -0,914732;  24;globalne;62,9701;  -0,920409;  5;globalne
24;-37;-2,46619;10,6567;7;-0,00103153;  2,1281e-11;  30;lokalne;2,21517e-12;  -7,15717e-18;  12;lokalne
25;-18;0,133697;7,0245;5;0,140678;  3,95808e-07;  28;lokalne;-8,10051e-11;  -7,15717e-18;  5;lokalne
26;32;-15,6567;-2,53381;7;-2,54203;  0,000129238;  30;lokalne;4,91276e-15;  -7,15717e-18;  5;lokalne
27;11;-2,14036;1,478;3;-5,687e-05;  6,46768e-14;  24;lokalne;2,6601e-13;  -7,15717e-18;  12;lokalne
28;-49;-1,34334;16,7662;8;0,00226065;  1,02211e-10;  32;lokalne;2,21038e-11;  -7,15717e-18;  12;lokalne
29;79;53,9755;60,8663;5;60,8593;  -0,86911;  28;globalne;80,7146;  0,13911;  5;globalne
