


Wspolczynnik ekspansji: 1.41
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

1;-32;-4,13458;7,29024;0;0,000388194;  3,01389e-12;  30;lokalne;5,23941e-13;  -7,44939e-18;  12;lokalne
2;35;-20,3992;-4,29024;0;-4,29647;  0,000369194;  32;lokalne;5,31171e-15;  -7,44939e-18;  5;lokalne
3;1;-4;6;0;0,00125235;  3,13675e-11;  30;lokalne;3,75591e-13;  -7,44939e-18;  12;lokalne
4;70;60,0595;62,95;0;62,7277;  -0,921198;  24;globalne;62,727;  -0,921198;  22;globalne
5;25;-14,2902;-2,86542;0;-2,87257;  0,000165033;  30;lokalne;7,44495e-15;  -7,44939e-18;  5;lokalne
6;-21;-1,23729;6,86542;0;0,00233242;  1,08804e-10;  28;lokalne;6,77702e-13;  -7,44939e-18;  12;lokalne
7;59;64;66,05;0;64,0088;  -0,896734;  22;globalne;62,3756;  -0,919347;  5;globalne
8;63;58;68;0;62,7276;  -0,921198;  30;globalne;62,727;  -0,921198;  18;globalne
9;-35;4,29024;20,3992;0;4,29647;  0,000369194;  32;lokalne;2,25826e-05;  1,0192e-14;  5;lokalne
10;6;-1,05;1;0;-0,00300429;  1,80515e-10;  22;lokalne;2,35897e-13;  -7,44939e-18;  12;lokalne
11;46;60,0161;65,7627;0;62,7293;  -0,921198;  26;globalne;62,727;  -0,921198;  18;globalne
12;-18;1,76271;9,86542;0;1,77092;  6,2723e-05;  28;lokalne;-2,03968e-09;  -7,4493e-18;  5;lokalne
13;-72;6,11293;38,1392;0;6,12059;  0,000749231;  34;lokalne;2,0953;  8,78057e-05;  5;lokalne
14;62;57;67;0;62,7295;  -0,921198;  30;globalne;62,727;  -0,921198;  24;globalne
15;-8;-0,95;1,9405;0;0,000721485;  1,04108e-11;  24;lokalne;2,58664e-13;  -7,44939e-18;  12;lokalne
16;96;56,7098;68,1346;0;62,7262;  -0,921198;  30;globalne;62,727;  -0,921198;  24;globalne
17;43;62,7627;70,8654;0;62,7709;  -0,921169;  28;globalne;60,38;  -0,841997;  5;globalne
18;-72;6,11293;38,1392;0;6,12059;  0,000749231;  34;lokalne;2,0953;  8,78057e-05;  5;lokalne
19;-63;-7,60076;15,1129;0;0,00269791;  1,45575e-10;  32;lokalne;2,97512e-12;  -7,44939e-18;  12;lokalne
20;92;52,7098;64,1346;0;62,7253;  -0,921198;  30;globalne;64,9832;  -0,847017;  5;globalne
21;-95;60,2963;123,968;0;62,7246;  -0,921198;  36;globalne;nan;  nan;  4;globalne
22;3;-4,05;-2;0;-2,0088;  8,07054e-05;  22;lokalne;2,51697e-14;  -7,44939e-18;  5;lokalne
23;54;63,9405;68,0161;0;63,9472;  -0,899009;  26;globalne;61,5841;  -0,901814;  5;globalne
24;-7;0,05;2,9405;0;0,0576671;  6,65099e-08;  24;lokalne;-9,53106e-13;  -7,44939e-18;  5;lokalne
25;83;55,1346;63,2373;0;62,7283;  -0,921198;  28;globalne;63,9911;  -0,897398;  5;globalne
26;-78;0,112926;32,1392;0;0,120586;  2,90819e-07;  34;lokalne;0,06474;  8,38254e-08;  5;lokalne
27;17;-10,8654;-2,76271;0;-2,77092;  0,00015356;  28;lokalne;2,60873e-15;  -7,44939e-18;  5;lokalne
28;19;-8,86542;-0,762708;0;-0,770917;  1,18863e-05;  28;lokalne;2,8696e-14;  -7,44939e-18;  5;lokalne
29;-4;1;3,05;0;1,0088;  2,03535e-05;  22;lokalne;-3,71002e-12;  -7,44939e-18;  5;lokalne
30;-52;3,39924;26,1129;0;3,40803;  0,000232293;  32;lokalne;0,00216667;  9,38894e-11;  5;lokalne
31;27;-12,2902;-0,865418;0;-0,872572;  1,52276e-05;  30;lokalne;1,67511e-14;  -7,44939e-18;  5;lokalne
32;72;57,9839;62,0595;0;62,0528;  -0,914406;  26;globalne;63,3491;  -0,915394;  5;globalne
33;39;-16,3992;-0,29024;0;-0,296474;  1,75794e-06;  32;lokalne;2,25748e-14;  -7,44939e-18;  5;lokalne
34;-30;-2,13458;9,29024;0;-0,00271138;  1,47032e-10;  30;lokalne;1,46567e-12;  -7,44939e-18;  12;lokalne
35;13;-6,76271;-1,0161;0;-1,02553;  2,10341e-05;  26;lokalne;3,10796e-14;  -7,44939e-18;  5;lokalne
36;-32;-4,13458;7,29024;0;0,000388194;  3,01389e-12;  30;lokalne;5,23941e-13;  -7,44939e-18;  12;lokalne
37;0;-5;5;0;0,00313087;  1,96047e-10;  30;lokalne;2,33904e-13;  -7,44939e-18;  10;lokalne
38;-64;-8,60076;14,1129;0;-0,00401776;  3,22848e-10;  32;lokalne;1,4091e-12;  -7,44939e-18;  12;lokalne
39;-5;0;2,05;0;0,00879828;  1,5482e-09;  22;lokalne;-9,61169e-14;  -7,44939e-18;  5;lokalne
40;4;-3,05;-1;0;-1,0088;  2,03535e-05;  22;lokalne;7,80262e-14;  -7,44939e-18;  5;lokalne
41;-88;-9,88707;22,1392;0;0,00193637;  7,49906e-11;  34;lokalne;2,33954e-13;  -7,44939e-18;  16;lokalne
42;23;-4,86542;3,23729;0;0,00277538;  1,54054e-10;  28;lokalne;6,81711e-13;  -7,44939e-18;  12;lokalne
43;34;-21,3992;-5,29024;0;-5,29647;  0,000561053;  32;lokalne;5,31171e-15;  -7,44939e-18;  5;lokalne
44;-26;1,86542;13,2902;0;1,87257;  7,01305e-05;  30;lokalne;-1,91107e-08;  -7,44208e-18;  5;lokalne
45;-35;4,29024;20,3992;0;4,29647;  0,000369194;  32;lokalne;2,25826e-05;  1,0192e-14;  5;lokalne
46;42;-13,3992;2,70976;0;-0,00208751;  8,71537e-11;  32;lokalne;1,1937e-12;  -7,44939e-18;  10;lokalne
47;12;-7,76271;-2,0161;0;-2,02553;  8,20551e-05;  26;lokalne;1,27975e-14;  -7,44939e-18;  5;lokalne
48;-46;-6,70976;9,39924;0;-0,00183357;  6,72395e-11;  32;lokalne;4,96972e-13;  -7,44939e-18;  12;lokalne
49;-31;-3,13458;8,29024;0;-0,00116159;  2,6986e-11;  30;lokalne;9,00522e-13;  -7,44939e-18;  12;lokalne
50;48;62,0161;67,7627;0;62,7227;  -0,921198;  26;globalne;62,727;  -0,921198;  24;globalne
51;-55;0,399238;23,1129;0;0,408028;  3,32974e-06;  32;lokalne;0,000114776;  2,63463e-13;  5;lokalne
52;-37;2,29024;18,3992;0;2,29647;  0,000105476;  32;lokalne;1,78002e-06;  5,59202e-17;  5;lokalne
53;58;63;65,05;0;63,0088;  -0,920005;  22;globalne;62,6784;  -0,921163;  5;globalne
54;-62;-6,60076;16,1129;0;0,000623455;  7,77392e-12;  32;lokalne;6,3298e-12;  -7,44939e-18;  12;lokalne
55;-40;-0,70976;15,3992;0;0,000930978;  1,73344e-11;  32;lokalne;9,95156e-12;  -7,44939e-18;  12;lokalne
56;24;-15,2902;-3,86542;0;-3,87257;  0,000299936;  30;lokalne;7,44495e-15;  -7,44939e-18;  5;lokalne
57;42;-13,3992;2,70976;0;-0,00208751;  8,71537e-11;  32;lokalne;1,1937e-12;  -7,44939e-18;  10;lokalne
58;30;-9,29024;2,13458;0;0,00271138;  1,47032e-10;  30;lokalne;7,0974e-13;  -7,44939e-18;  10;lokalne
59;79;59,2373;64,9839;0;62,7229;  -0,921198;  26;globalne;62,727;  -0,921198;  24;globalne
60;17;-10,8654;-2,76271;0;-2,77092;  0,00015356;  28;lokalne;2,60873e-15;  -7,44939e-18;  5;lokalne
61;-64;-8,60076;14,1129;0;-0,00401776;  3,22848e-10;  32;lokalne;1,4091e-12;  -7,44939e-18;  12;lokalne
62;91;51,7098;63,1346;0;62,7268;  -0,921198;  30;globalne;72,7219;  -0,0995546;  5;globalne
63;-57;-1,60076;21,1129;0;-0,000958698;  1,8382e-11;  32;lokalne;2,33911e-13;  -7,44939e-18;  16;lokalne
64;-11;-1,0595;3,0161;0;0,00282983;  1,60159e-10;  26;lokalne;2,96882e-13;  -7,44939e-18;  12;lokalne
65;7;-2,9405;-0,05;0;-0,0576671;  6,65099e-08;  24;lokalne;1,47478e-13;  -7,44939e-18;  5;lokalne
66;-59;-3,60076;19,1129;0;0,00319021;  2,03549e-10;  32;lokalne;5,06954e-11;  -7,44939e-18;  12;lokalne
67;43;62,7627;70,8654;0;62,7709;  -0,921169;  28;globalne;60,38;  -0,841997;  5;globalne
