Czas;Kat;Predkosc katowa
0;0;0
0.1;0.0097976;0.191646
0.2;0.0375038;0.35852
0.3;0.0807439;0.502653
0.4;0.137341;0.625966
0.5;0.205304;0.73027
0.6;0.282818;0.817269
0.7;0.368234;0.888562
0.8;0.460057;0.94565
0.9;0.556938;0.989932
1;0.657661;1.02272
1.1;0.761138;1.04522
1.2;0.866399;1.05856
1.3;0.972581;1.0638
1.4;1.07892;1.0619
1.5;1.18475;1.05374
1.6;1.28949;1.04016
1.7;1.39263;1.0219
1.8;1.49374;0.999643
1.9;1.59244;0.974025
2;1.68845;0.945614
2.1;1.78149;0.914927
2.2;1.87137;0.882432
2.3;1.95793;0.848551
2.4;2.04105;0.81366
2.5;2.12064;0.778097
2.6;2.19666;0.742162
2.7;2.26907;0.706121
2.8;2.33789;0.670207
2.9;2.40312;0.634622
3;2.46483;0.599545
3.1;2.52305;0.565126
3.2;2.57788;0.531495
3.3;2.62938;0.49876
3.4;2.67766;0.467011
3.5;2.72282;0.43632
3.6;2.76496;0.406744
3.7;2.80421;0.378327
3.8;2.84067;0.351099
3.9;2.87447;0.32508
4;2.90573;0.300281
4.1;2.93457;0.276702
4.2;2.96111;0.254337
4.3;2.98547;0.233173
4.4;3.00778;0.213192
4.5;3.02815;0.194369
4.6;3.04669;0.176678
4.7;3.06352;0.160087
4.8;3.07875;0.144561
4.9;3.09247;0.130064
5;3.10479;0.116559
5.1;3.11581;0.104005
5.2;3.12562;0.0923621
5.3;3.13431;0.0815889
5.4;3.14197;0.0716443
5.5;3.14867;0.0624869
5.6;3.15449;0.0540756
5.7;3.15951;0.0463701
5.8;3.16379;0.0393303
5.9;3.16739;0.0329173
6;3.17039;0.0270931
6.1;3.17283;0.0218208
6.2;3.17477;0.0170645
6.3;3.17626;0.0127897
6.4;3.17734;0.0089633
6.5;3.17807;0.0055534
6.6;3.17847;0.00252953
6.7;3.17858;-0.000137378
6.8;3.17845;-0.00247501
6.9;3.1781;-0.00450964
7;3.17756;-0.00626615
7.1;3.17685;-0.00776808
7.2;3.17601;-0.0090376
7.3;3.17505;-0.0100956
7.4;3.174;-0.0109616
7.5;3.17287;-0.0116541
7.6;3.17167;-0.0121901
7.7;3.17043;-0.0125856
7.8;3.16916;-0.0128556
7.9;3.16787;-0.0130138
8;3.16656;-0.0130731
8.1;3.16526;-0.0130452
8.2;3.16396;-0.0129411
8.3;3.16267;-0.0127708
8.4;3.1614;-0.0125435
8.5;3.16016;-0.0122675
8.6;3.15895;-0.0119507
8.7;3.15777;-0.0115999
8.8;3.15663;-0.0112214
8.9;3.15553;-0.0108211
9;3.15447;-0.0104039
9.1;3.15345;-0.00997463
9.2;3.15247;-0.00953728
9.3;3.15154;-0.00909556
9.4;3.15065;-0.0086527
9.5;3.14981;-0.00821153
9.6;3.14901;-0.00777455
9.7;3.14826;-0.00734391
9.8;3.14754;-0.00692146
9.9;3.14687;-0.00650877
10;3.14624;-0.00610715
10.1;3.14565;-0.0057177
10.2;3.1451;-0.0053413
10.3;3.14458;-0.00497864
10.4;3.1441;-0.00463023
10.5;3.14365;-0.00429646
10.6;3.14324;-0.00397756
10.7;3.14286;-0.00367364
10.8;3.14251;-0.00338472
10.9;3.14218;-0.0031107
11;3.14188;-0.00285144
11.1;3.14161;-0.0026067
11.2;3.14136;-0.00237618
11.3;3.14113;-0.00215953
11.4;3.14093;-0.00195638
11.5;3.14074;-0.00176631
11.6;3.14058;-0.00158885
11.7;3.14042;-0.00142355
11.8;3.14029;-0.00126991
11.9;3.14017;-0.00112743
12;3.14006;-0.000995623
12.1;3.13997;-0.000873965
12.2;3.13989;-0.000761953
12.3;3.13982;-0.000659082
12.4;3.13976;-0.000564855
12.5;3.13971;-0.000478784
12.6;3.13966;-0.000400389
12.7;3.13962;-0.000329203
12.8;3.1396;-0.000264774
12.9;3.13957;-0.000206663
13;3.13955;-0.000154446
13.1;3.13954;-0.000107717
13.2;3.13953;-6.60854e-05
13.3;3.13953;-2.9177e-05
13.4;3.13953;3.36409e-06
13.5;3.13953;3.18771e-05
13.6;3.13953;5.66839e-05
13.7;3.13954;7.80895e-05
13.8;3.13955;9.6382e-05
13.9;3.13956;0.000111833
14;3.13957;0.000124698
14.1;3.13958;0.000135218
14.2;3.1396;0.000143616
14.3;3.13961;0.000150103
14.4;3.13963;0.000154874
14.5;3.13964;0.000158112
14.6;3.13966;0.000159986
14.7;3.13967;0.000160652
14.8;3.13969;0.000160255
14.9;3.13971;0.000158928
15;3.13972;0.000156794
15.1;3.13974;0.000153965
15.2;3.13975;0.000150545
15.3;3.13977;0.000146626
15.4;3.13978;0.000142295
15.5;3.1398;0.000137628
15.6;3.13981;0.000132695
15.7;3.13982;0.00012756
15.8;3.13984;0.000122278
15.9;3.13985;0.000116899
16;3.13986;0.00011147
16.1;3.13987;0.000106028
16.2;3.13988;0.000100609
16.3;3.13989;9.52428e-05
16.4;3.1399;8.9956e-05
16.5;3.13991;8.4771e-05
16.6;3.13992;7.97068e-05
16.7;3.13992;7.47796e-05
16.8;3.13993;7.00025e-05
16.9;3.13994;6.53862e-05
17;3.13994;6.09392e-05
17.1;3.13995;5.66677e-05
17.2;3.13996;5.25762e-05
17.3;3.13996;4.86675e-05
17.4;3.13997;4.4943e-05
17.5;3.13997;4.14027e-05
17.6;3.13997;3.80456e-05
17.7;3.13998;3.48696e-05
17.8;3.13998;3.18718e-05
17.9;3.13998;2.90486e-05
18;3.13999;2.63957e-05
18.1;3.13999;2.39083e-05
18.2;3.13999;2.15812e-05
18.3;3.13999;1.94089e-05
18.4;3.13999;1.73857e-05
18.5;3.14;1.55054e-05
18.6;3.14;1.3762e-05
18.7;3.14;1.21493e-05
18.8;3.14;1.0661e-05
18.9;3.14;9.29088e-06
19;3.14;8.03277e-06
19.1;3.14;6.88054e-06
19.2;3.14;5.8282e-06
19.3;3.14;4.86987e-06
19.4;3.14;3.99982e-06
19.5;3.14;3.2125e-06
19.6;3.14001;2.50252e-06
19.7;3.14001;1.86469e-06
19.8;3.14001;1.29403e-06
19.9;3.14001;7.85752e-07
20;3.14001;3.35268e-07
20.1;3.14001;-6.17846e-08
20.2;3.14001;-4.09561e-07
20.3;3.14001;-7.12006e-07
20.4;3.14001;-9.72855e-07
20.5;3.14001;-1.19564e-06
20.6;3.14001;-1.38368e-06
20.7;3.14001;-1.54012e-06
20.8;3.14001;-1.66789e-06
20.9;3.14;-1.76973e-06
21;3.14;-1.84823e-06
21.1;3.14;-1.90577e-06
21.2;3.14;-1.94459e-06
21.3;3.14;-1.96675e-06
21.4;3.14;-1.97417e-06
21.5;3.14;-1.96863e-06
21.6;3.14;-1.95174e-06
21.7;3.14;-1.92502e-06
21.8;3.14;-1.88983e-06
21.9;3.14;-1.84743e-06
22;3.14;-1.79897e-06
22.1;3.14;-1.7455e-06
22.2;3.14;-1.68795e-06
22.3;3.14;-1.62718e-06
22.4;3.14;-1.56396e-06
22.5;3.14;-1.49897e-06
22.6;3.14;-1.43284e-06
22.7;3.14;-1.36609e-06
22.8;3.14;-1.29923e-06
22.9;3.14;-1.23267e-06
23;3.14;-1.16677e-06
23.1;3.14;-1.10187e-06
23.2;3.14;-1.03823e-06
23.3;3.14;-9.76088e-07
23.4;3.14;-9.15639e-07
23.5;3.14;-8.57042e-07
23.6;3.14;-8.00428e-07
23.7;3.14;-7.45899e-07
23.8;3.14;-6.9353e-07
23.9;3.14;-6.43375e-07
24;3.14;-5.95468e-07
24.1;3.14;-5.49825e-07
24.2;3.14;-5.06445e-07
24.3;3.14;-4.65316e-07
24.4;3.14;-4.26409e-07
24.5;3.14;-3.89691e-07
24.6;3.14;-3.55114e-07
24.7;3.14;-3.22628e-07
24.8;3.14;-2.92172e-07
24.9;3.14;-2.63682e-07
25;3.14;-2.37091e-07
25.1;3.14;-2.12327e-07
25.2;3.14;-1.89316e-07
25.3;3.14;-1.67983e-07
25.4;3.14;-1.48252e-07
25.5;3.14;-1.30045e-07
25.6;3.14;-1.13286e-07
25.7;3.14;-9.78992e-08
25.8;3.14;-8.38096e-08
25.9;3.14;-7.09434e-08
26;3.14;-5.92285e-08
26.1;3.14;-4.85946e-08
26.2;3.14;-3.89736e-08
26.3;3.14;-3.02995e-08
26.4;3.14;-2.25086e-08
26.5;3.14;-1.55397e-08
26.6;3.14;-9.3342e-09
26.7;3.14;-3.83592e-09
26.8;3.14;1.00865e-09
26.9;3.14;5.25043e-09
27;3.14;8.93775e-09
27.1;3.14;1.21164e-08
27.2;3.14;1.48296e-08
27.3;3.14;1.7118e-08
27.4;3.14;1.90201e-08
27.5;3.14;2.05718e-08
27.6;3.14;2.18068e-08
27.7;3.14;2.27565e-08
27.8;3.14;2.34503e-08
27.9;3.14;2.39155e-08
28;3.14;2.41773e-08
28.1;3.14;2.42592e-08
28.2;3.14;2.41829e-08
28.3;3.14;2.39683e-08
28.4;3.14;2.36338e-08
28.5;3.14;2.31961e-08
28.6;3.14;2.26707e-08
28.7;3.14;2.20716e-08
28.8;3.14;2.14114e-08
28.9;3.14;2.07018e-08
29;3.14;1.99532e-08
29.1;3.14;1.91749e-08
29.2;3.14;1.83754e-08
29.3;3.14;1.75621e-08
29.4;3.14;1.67418e-08
29.5;3.14;1.59202e-08
29.6;3.14;1.51026e-08
29.7;3.14;1.42935e-08
29.8;3.14;1.34967e-08
29.9;3.14;1.27156e-08
30;3.14;1.19531e-08
30.1;3.14;1.12115e-08
30.2;3.14;1.04927e-08
30.3;3.14;9.79841e-09
30.4;3.14;9.12978e-09
30.5;3.14;8.48773e-09
30.6;3.14;7.87293e-09
30.7;3.14;7.28576e-09
30.8;3.14;6.72642e-09
30.9;3.14;6.19488e-09
31;3.14;5.69098e-09
31.1;3.14;5.21438e-09
31.2;3.14;4.76463e-09
31.3;3.14;4.34117e-09
31.4;3.14;3.94336e-09
31.5;3.14;3.57046e-09
31.6;3.14;3.22167e-09
31.7;3.14;2.89617e-09
31.8;3.14;2.59307e-09
31.9;3.14;2.31146e-09
32;3.14;2.05042e-09
32.1;3.14;1.809e-09
32.2;3.14;1.58627e-09
32.3;3.14;1.38129e-09
32.4;3.14;1.19311e-09
32.5;3.14;1.02082e-09
32.6;3.14;8.63517e-10
32.7;3.14;7.20312e-10
32.8;3.14;5.90345e-10
32.9;3.14;4.72779e-10
33;3.14;3.66805e-10
33.1;3.14;2.71641e-10
33.2;3.14;1.86539e-10
33.3;3.14;1.10778e-10
33.4;3.14;4.36716e-11
33.5;3.14;-1.54375e-11
33.6;3.14;-6.71728e-11
33.7;3.14;-1.12126e-10
33.8;3.14;-1.50859e-10
33.9;3.14;-1.839e-10
34;3.14;-2.1175e-10
34.1;3.14;-2.34876e-10
34.2;3.14;-2.5372e-10
34.3;3.14;-2.68693e-10
34.4;3.14;-2.80182e-10
34.5;3.14;-2.88545e-10
34.6;3.14;-2.94116e-10
34.7;3.14;-2.97205e-10
34.8;3.14;-2.98099e-10
34.9;3.14;-2.97062e-10
35;3.14;-2.94338e-10
35.1;3.14;-2.90153e-10
35.2;3.14;-2.84711e-10
35.3;3.14;-2.78201e-10
35.4;3.14;-2.70793e-10
35.5;3.14;-2.62645e-10
35.6;3.14;-2.53895e-10
35.7;3.14;-2.44673e-10
35.8;3.14;-2.35093e-10
35.9;3.14;-2.25256e-10
36;3.14;-2.15256e-10
36.1;3.14;-2.05173e-10
36.2;3.14;-1.95078e-10
36.3;3.14;-1.85035e-10
36.4;3.14;-1.751e-10
36.5;3.14;-1.65318e-10
36.6;3.14;-1.55732e-10
36.7;3.14;-1.46375e-10
36.8;3.14;-1.37277e-10
36.9;3.14;-1.28461e-10
37;3.14;-1.19946e-10
37.1;3.14;-1.11747e-10
37.2;3.14;-1.03876e-10
37.3;3.14;-9.63397e-11
37.4;3.14;-8.91433e-11
37.5;3.14;-8.22887e-11
37.6;3.14;-7.57757e-11
37.7;3.14;-6.96022e-11
37.8;3.14;-6.37639e-11
37.9;3.14;-5.82552e-11
38;3.14;-5.30692e-11
38.1;3.14;-4.81978e-11
38.2;3.14;-4.3632e-11
38.3;3.14;-3.93621e-11
38.4;3.14;-3.53776e-11
38.5;3.14;-3.16678e-11
38.6;3.14;-2.82215e-11
38.7;3.14;-2.50273e-11
38.8;3.14;-2.20736e-11
38.9;3.14;-1.93489e-11
39;3.14;-1.68416e-11
39.1;3.14;-1.45402e-11
39.2;3.14;-1.24334e-11
39.3;3.14;-1.05101e-11
39.4;3.14;-8.75957e-12
39.5;3.14;-7.17112e-12
39.6;3.14;-5.7345e-12
39.7;3.14;-4.43977e-12
39.8;3.14;-3.27739e-12
39.9;3.14;-2.23817e-12
40;3.14;-1.31325e-12
40.1;3.14;-4.94208e-13
40.2;3.14;2.26986e-13
40.3;3.14;8.5796e-13
40.4;3.14;1.40598e-12
40.5;3.14;1.87794e-12
40.6;3.14;2.28032e-12
40.7;3.14;2.61922e-12
40.8;3.14;2.90039e-12
40.9;3.14;3.12922e-12
41;3.14;3.31077e-12
41.1;3.14;3.44973e-12
41.2;3.14;3.55052e-12
41.3;3.14;3.61721e-12
41.4;3.14;3.65358e-12
41.5;3.14;3.66317e-12
41.6;3.14;3.64922e-12
41.7;3.14;3.61469e-12
41.8;3.14;3.56234e-12
41.9;3.14;3.49469e-12
42;3.14;3.41403e-12
42.1;3.14;3.32246e-12
42.2;3.14;3.22186e-12
42.3;3.14;3.11398e-12
42.4;3.14;3.00039e-12
42.5;3.14;2.88245e-12
42.6;3.14;2.76143e-12
42.7;3.14;2.63848e-12
42.8;3.14;2.51455e-12
42.9;3.14;2.39054e-12
43;3.14;2.26721e-12
43.1;3.14;2.14524e-12
43.2;3.14;2.02516e-12
43.3;3.14;1.90751e-12
43.4;3.14;1.79268e-12
43.5;3.14;1.68105e-12
43.6;3.14;1.57289e-12
43.7;3.14;1.46846e-12
43.8;3.14;1.36793e-12
43.9;3.14;1.27144e-12
44;3.14;1.17906e-12
44.1;3.14;1.09085e-12
44.2;3.14;1.00686e-12
44.3;3.14;9.27072e-13
44.4;3.14;8.51442e-13
44.5;3.14;7.79921e-13
44.6;3.14;7.12438e-13
44.7;3.14;6.48915e-13
44.8;3.14;5.89258e-13
44.9;3.14;5.33365e-13
45;3.14;4.81103e-13
45.1;3.14;4.32346e-13
45.2;3.14;3.86942e-13
45.3;3.14;3.44773e-13
45.4;3.14;3.05696e-13
45.5;3.14;2.6958e-13
45.6;3.14;2.36259e-13
45.7;3.14;2.05583e-13
45.8;3.14;1.77435e-13
45.9;3.14;1.51669e-13
46;3.14;1.28142e-13
46.1;3.14;1.06754e-13
46.2;3.14;8.73507e-14
46.3;3.14;6.97952e-14
46.4;3.14;5.39688e-14
46.5;3.14;3.97623e-14
46.6;3.14;2.70485e-14
46.7;3.14;1.5752e-14
46.8;3.14;5.74369e-15
46.9;3.14;-3.05862e-15
47;3.14;-1.07492e-14
47.1;3.14;-1.74154e-14
47.2;3.14;-2.31606e-14
47.3;3.14;-2.80396e-14
47.4;3.14;-3.21502e-14
47.5;3.14;-3.55416e-14
47.6;3.14;-3.82983e-14
47.7;3.14;-4.04937e-14
47.8;3.14;-4.21564e-14
47.9;3.14;-4.33652e-14
48;3.14;-4.41539e-14
48.1;3.14;-4.45741e-14
48.2;3.14;-4.46712e-14
48.3;3.14;-4.4485e-14
48.4;3.14;-4.40505e-14
48.5;3.14;-4.3398e-14
48.6;3.14;-4.25546e-14
48.7;3.14;-4.15486e-14
48.8;3.14;-4.04222e-14
48.9;3.14;-3.91994e-14
49;3.14;-3.7892e-14
49.1;3.14;-3.65063e-14
49.2;3.14;-3.50741e-14
49.3;3.14;-3.36013e-14
49.4;3.14;-3.20976e-14
49.5;3.14;-3.05891e-14
49.6;3.14;-2.90946e-14
49.7;3.14;-2.7599e-14
49.8;3.14;-2.61248e-14
49.9;3.14;-2.46693e-14
50;3.14;-2.32351e-14
50.1;3.14;-2.18419e-14
50.2;3.14;-2.05027e-14
50.3;3.14;-1.91975e-14
50.4;3.14;-1.79445e-14
50.5;3.14;-1.67374e-14
50.6;3.14;-1.55703e-14
50.7;3.14;-1.44433e-14
50.8;3.14;-1.33737e-14
50.9;3.14;-1.23634e-14
51;3.14;-1.14052e-14
51.1;3.14;-1.04884e-14
51.2;3.14;-9.63024e-15
51.3;3.14;-8.82351e-15
51.4;3.14;-8.06187e-15
51.5;3.14;-7.33976e-15
51.6;3.14;-6.65232e-15
51.7;3.14;-6.00009e-15
51.8;3.14;-5.40105e-15
51.9;3.14;-4.84866e-15
52;3.14;-4.33716e-15
52.1;3.14;-3.8796e-15
52.2;3.14;-3.45125e-15
52.3;3.14;-3.04852e-15
52.4;3.14;-2.66826e-15
52.5;3.14;-2.30769e-15
52.6;3.14;-1.96922e-15
52.7;3.14;-1.67244e-15
52.8;3.14;-1.4122e-15
52.9;3.14;-1.18401e-15
53;3.14;-9.83931e-16
53.1;3.14;-8.08488e-16
53.2;3.14;-6.54652e-16
53.3;3.14;-5.19761e-16
53.4;3.14;-4.01483e-16
53.5;3.14;-2.97771e-16
53.6;3.14;-2.06831e-16
53.7;3.14;-1.27091e-16
53.8;3.14;-5.71719e-17
53.9;3.14;4.1368e-18
54;3.14;5.78951e-17
54.1;3.14;1.05033e-16
54.2;3.14;1.46365e-16
54.3;3.14;1.82608e-16
54.4;3.14;2.14386e-16
54.5;3.14;2.42252e-16
54.6;3.14;2.66685e-16
54.7;3.14;2.88109e-16
54.8;3.14;3.06895e-16
54.9;3.14;3.23368e-16
55;3.14;3.37811e-16
55.1;3.14;3.50476e-16
55.2;3.14;3.61581e-16
55.3;3.14;3.71319e-16
55.4;3.14;3.79857e-16
55.5;3.14;3.87344e-16
55.6;3.14;3.93909e-16
55.7;3.14;3.99665e-16
55.8;3.14;4.04712e-16
55.9;3.14;4.09138e-16
56;3.14;4.13019e-16
56.1;3.14;4.16421e-16
56.2;3.14;4.19405e-16
56.3;3.14;4.22021e-16
56.4;3.14;4.24315e-16
56.5;3.14;4.26327e-16
56.6;3.14;4.28091e-16
56.7;3.14;4.29637e-16
56.8;3.14;4.30993e-16
56.9;3.14;4.32183e-16
57;3.14;4.33225e-16
57.1;3.14;4.3414e-16
57.2;3.14;4.34941e-16
57.3;3.14;4.35644e-16
57.4;3.14;4.3626e-16
57.5;3.14;4.36801e-16
57.6;3.14;4.37275e-16
57.7;3.14;4.3769e-16
57.8;3.14;4.38055e-16
57.9;3.14;4.38374e-16
58;3.14;4.38654e-16
58.1;3.14;4.389e-16
58.2;3.14;4.39115e-16
58.3;3.14;4.39304e-16
58.4;3.14;4.3947e-16
58.5;3.14;4.39615e-16
58.6;3.14;4.39742e-16
58.7;3.14;4.39854e-16
58.8;3.14;4.39952e-16
58.9;3.14;4.40038e-16
59;3.14;4.40113e-16
59.1;3.14;4.40179e-16
59.2;3.14;4.40237e-16
59.3;3.14;4.40288e-16
59.4;3.14;4.40332e-16
59.5;3.14;4.40371e-16
59.6;3.14;4.40405e-16
59.7;3.14;4.40435e-16
59.8;3.14;4.40462e-16
59.9;3.14;4.40485e-16
60;3.14;4.40505e-16
60.1;3.14;4.40523e-16
60.2;3.14;4.40538e-16
60.3;3.14;4.40552e-16
60.4;3.14;4.40564e-16
60.5;3.14;4.40574e-16
60.6;3.14;4.40583e-16
60.7;3.14;4.40592e-16
60.8;3.14;4.40599e-16
60.9;3.14;4.40605e-16
61;3.14;4.4061e-16
61.1;3.14;4.40615e-16
61.2;3.14;4.40619e-16
61.3;3.14;4.40623e-16
61.4;3.14;4.40626e-16
61.5;3.14;4.40629e-16
61.6;3.14;4.40631e-16
61.7;3.14;4.40633e-16
61.8;3.14;4.40635e-16
61.9;3.14;4.40637e-16
62;3.14;4.40639e-16
62.1;3.14;4.4064e-16
62.2;3.14;4.40641e-16
62.3;3.14;4.40642e-16
62.4;3.14;4.40643e-16
62.5;3.14;4.40644e-16
62.6;3.14;4.40644e-16
62.7;3.14;4.40645e-16
62.8;3.14;4.40645e-16
62.9;3.14;4.40646e-16
63;3.14;4.40646e-16
63.1;3.14;4.40646e-16
63.2;3.14;4.40647e-16
63.3;3.14;4.40647e-16
63.4;3.14;4.40647e-16
63.5;3.14;4.40647e-16
63.6;3.14;4.40648e-16
63.7;3.14;4.40648e-16
63.8;3.14;4.40648e-16
63.9;3.14;4.40648e-16
64;3.14;4.40648e-16
64.1;3.14;4.40648e-16
64.2;3.14;4.40648e-16
64.3;3.14;4.40648e-16
64.4;3.14;4.40648e-16
64.5;3.14;4.40649e-16
64.6;3.14;4.40649e-16
64.7;3.14;4.40649e-16
64.8;3.14;4.40649e-16
64.9;3.14;4.40649e-16
65;3.14;4.40649e-16
65.1;3.14;4.40649e-16
65.2;3.14;4.40649e-16
65.3;3.14;4.40649e-16
65.4;3.14;4.40649e-16
65.5;3.14;4.40649e-16
65.6;3.14;4.40649e-16
65.7;3.14;4.40649e-16
65.8;3.14;4.40649e-16
65.9;3.14;4.40649e-16
66;3.14;4.40649e-16
66.1;3.14;4.40649e-16
66.2;3.14;4.40649e-16
66.3;3.14;4.40649e-16
66.4;3.14;4.40649e-16
66.5;3.14;4.40649e-16
66.6;3.14;4.40649e-16
66.7;3.14;4.40649e-16
66.8;3.14;4.40649e-16
66.9;3.14;4.40649e-16
67;3.14;4.40649e-16
67.1;3.14;4.40649e-16
67.2;3.14;4.40649e-16
67.3;3.14;4.40649e-16
67.4;3.14;4.40649e-16
67.5;3.14;4.40649e-16
67.6;3.14;4.40649e-16
67.7;3.14;4.40649e-16
67.8;3.14;4.40649e-16
67.9;3.14;4.40649e-16
68;3.14;4.40649e-16
68.1;3.14;4.40649e-16
68.2;3.14;4.40649e-16
68.3;3.14;4.40649e-16
68.4;3.14;4.40649e-16
68.5;3.14;4.40649e-16
68.6;3.14;4.40649e-16
68.7;3.14;4.40649e-16
68.8;3.14;4.40649e-16
68.9;3.14;4.40649e-16
69;3.14;4.40649e-16
69.1;3.14;4.40649e-16
69.2;3.14;4.40649e-16
