Lp.;x1(0);x2(0);x1* (hooke);x2* (hooke);y (hooke);f_calls;x1* (rosen);x2* (rosen);y (rosen);f_calls;1;-0.65;-0.32;-0.867;-0.0274;0,90904; ;280;-0.794942;-0.0033665;0,633213; ;109
2;-0.46;0.51;-0.7526;0.8006;1,27696; ;313;-0.772709;0.776707;1,24115; ;155
3;-0.21;0.24;0.0166;0.0122;0,0134852; ;276;-0.0009885;-0.0112179;0,00403172; ;71
4;0.91;-0.99;0.7319;-0.8009;1,31827; ;237;0.883984;-0.729838;1,67126; ;31
5;-0.62;0.03;-0.7794;-0.024;0,6393; ;250;-0.62;0.03;1,25891; ;3
6;-0.8;0.41;-0.7865;0.0005;0,624542; ;403;-0.812498;-0.001434;0,66472; ;73
7;-0.14;-0.46;0.0898;-0.745;0,894535; ;328;-5.10906e-07;-0.775083;0,620446; ;223
8;-0.77;-0.31;-0.7751;-0.0019;0,620561; ;290;-0.775083;-2.96252e-06;0,620446; ;107
9;-0.32;-0.64;-0.0274;-0.8676;0,912442; ;282;-0.000455559;-0.799907;0,639865; ;69
10;0.54;-0.84;0.7746;-0.7176;1,33933; ;242;0.774947;-0.775497;1,2409; ;129
11;0.67;-0.85;0.7646;-0.7584;1,2529; ;138;0.776532;-0.776547;1,24102; ;97
12;-0.29;0.93;-0.0344;0.7016;0,815682; ;271;-0.00106524;0.773154;0,620598; ;69
13;0.1;-0.93;-0.027;-0.7974;0,659232; ;200;-5.41039e-08;-0.775083;0,620446; ;241
14;0.69;0.53;0.8434;0.7646;1,3916; ;236;0.770853;0.790162;1,24859; ;31
15;0.71;0.39;0.8135;-0.0099;0,670177; ;412;0.775083;-3.63074e-09;0,620446; ;239
16;0.94;-0.94;0.7749;-0.7749;1,24089; ;232;0.775086;-0.775084;1,24089; ;219
17;-0.93;-0.52;-0.7221;-0.7411;1,36014; ;280;-0.77184;-0.775103;1,24122; ;143
18;0.1;-0.13;-0.0156;-0.0124;0,0126198; ;191;0.0855521;0.0144789;0,231144; ;29
19;0.25;-0.47;-0.0255;-0.7475;0,664384; ;370;0.25;-0.47;3,51878; ;3
20;-0.12;0.63;0.0114;0.7626;0,629406; ;160;2.21072e-07;0.775083;0,620446; ;161
21;0.56;0.08;0.7616;-0.0616;0,744524; ;231;0.77696;-0.0127792;0,625747; ;67
22;-0.44;0.95;-0.7326;0.6916;1,49648; ;366;-0.44;0.95;3,66152; ;3
23;0.14;-0.69;0.0175;-0.8035;0,655635; ;240;0.14;-0.69;1,39386; ;3
24;-0.84;0.34;-0.7266;-0.008;0,693178; ;382;-0.775049;-2.75381e-05;0,620446; ;137
25;-0.8;0.71;-0.758;0.773;1,25004; ;124;-0.775132;0.790211;1,24808; ;27
26;0.5;0.87;0.7628;0.6942;1,43491; ;262;0.774903;0.771427;1,24131; ;67
27;0.38;-0.79;-0.0026;-0.7702;0,621403; ;396;-3.36247e-06;-0.775036;0,620446; ;203
28;0.32;-0.52;0.0274;-0.8084;0,679273; ;378;0.32;-0.52;3,77053; ;3
29;-0.71;-0.46;-0.827;-0.7834;1,32825; ;356;-0.71;-0.46;2,84897; ;3
30;0.53;-1;0.7646;-0.766;1,24686; ;210;0.790162;-0.739838;1,28586; ;31
31;0.93;0.48;0.7016;0.7356;1,446; ;271;0.775074;0.775203;1,24089; ;177
32;0.59;-0.99;0.7904;-0.7884;1,25383; ;196;0.734479;-0.729838;1,35263; ;31
33;0.48;-0.31;0.7801;-0.0097;0,624225; ;236;0.775171;-6.69796e-05;0,620447; ;117
34;-0.12;-0.27;0.0753;-0.0285;0,201079; ;232;-0.000945243;0.000628255;4,09787e-05; ;57
35;0.22;0.28;-0.0314;0.0244;0,0500943; ;353;0.22;0.28;2,86925; ;3
36;-0.64;-0.69;-0.7576;-0.8004;1,27053; ;236;-0.64;-0.69;1,93175; ;3
37;0.88;-0.56;0.7181;-0.7491;1,35839; ;293;0.88;-0.56;2,58807; ;3
38;0.78;-0.46;0.7751;-0.7758;1,24091; ;373;0.78;-0.46;2,72464; ;3
39;-0.24;0.94;-0.0255;0.7345;0,690981; ;254;-4.2211e-06;0.775083;0,620446; ;163
40;0.88;-0.04;0.781;0.0284;0,647097; ;198;0.766432;-0.00126812;0,622822; ;109
41;0.17;0.38;-0.1053;0.0397;0,383457; ;389;0.17;0.38;2,92665; ;3
42;-0.17;-0.45;0.0808;-0.735;0,870193; ;323;-1.02885e-05;-0.775111;0,620446; ;135
43;0.12;0.67;0.0072;0.7822;0,623681; ;195;1.05166e-06;0.775081;0,620446; ;193
44;-0.45;0.41;-0.8199;0.0359;0,724659; ;428;-0.45;0.41;4,29221; ;3
45;-0.79;-0.91;-0.7804;-0.7774;1,24194; ;187;-0.775684;-0.765521;1,24374; ;29
46;-0.07;-0.85;0.0035;-0.7759;0,620857; ;121;0.000122127;-0.775479;0,620452; ;123
47;0.57;-0.96;0.7653;-0.7653;1,24683; ;192;0.775062;-0.775082;1,24089; ;151
48;-0.84;-0.43;-0.728;-0.7864;1,31168; ;387;-0.773348;-0.773574;1,24106; ;109
