time;x_position;y_position
0 ;0 ;100 
0,01 ;0,00501283 ;99,9995 
0,02 ;0,0100258 ;99,998 
0,03 ;0,0150397 ;99,9956 
0,04 ;0,0200551 ;99,9921 
0,05 ;0,0250727 ;99,9877 
0,06 ;0,0300933 ;99,9823 
0,07 ;0,0351174 ;99,9759 
0,08 ;0,040146 ;99,9685 
0,09 ;0,0451795 ;99,9601 
0,1 ;0,0502187 ;99,9508 
0,11 ;0,0552643 ;99,9405 
0,12 ;0,060317 ;99,9291 
0,13 ;0,0653775 ;99,9169 
0,14 ;0,0704465 ;99,9036 
0,15 ;0,0755246 ;99,8893 
0,16 ;0,0806125 ;99,8741 
0,17 ;0,085711 ;99,8579 
0,18 ;0,0908207 ;99,8407 
0,19 ;0,0959423 ;99,8225 
0,2 ;0,101077 ;99,8034 
0,21 ;0,106224 ;99,7832 
0,22 ;0,111385 ;99,7621 
0,23 ;0,116562 ;99,7401 
0,24 ;0,121753 ;99,717 
0,25 ;0,12696 ;99,693 
0,26 ;0,132185 ;99,668 
0,27 ;0,137426 ;99,642 
0,28 ;0,142686 ;99,6151 
0,29 ;0,147964 ;99,5872 
0,3 ;0,153262 ;99,5583 
0,31 ;0,158579 ;99,5285 
0,32 ;0,163918 ;99,4977 
0,33 ;0,169278 ;99,4659 
0,34 ;0,17466 ;99,4332 
0,35 ;0,180065 ;99,3995 
0,36 ;0,185494 ;99,3649 
0,37 ;0,190946 ;99,3292 
0,38 ;0,196423 ;99,2927 
0,39 ;0,201926 ;99,2552 
0,4 ;0,207455 ;99,2167 
0,41 ;0,213011 ;99,1773 
0,42 ;0,218594 ;99,1369 
0,43 ;0,224205 ;99,0955 
0,44 ;0,229846 ;99,0533 
0,45 ;0,235515 ;99,01 
0,46 ;0,241215 ;98,9659 
0,47 ;0,246945 ;98,9208 
0,48 ;0,252707 ;98,8747 
0,49 ;0,258501 ;98,8277 
0,5 ;0,264328 ;98,7798 
0,51 ;0,270188 ;98,7309 
0,52 ;0,276082 ;98,6811 
0,53 ;0,282011 ;98,6304 
0,54 ;0,287975 ;98,5788 
0,55 ;0,293975 ;98,5262 
0,56 ;0,300012 ;98,4727 
0,57 ;0,306086 ;98,4182 
0,58 ;0,312198 ;98,3629 
0,59 ;0,318348 ;98,3066 
0,6 ;0,324538 ;98,2494 
0,61 ;0,330768 ;98,1913 
0,62 ;0,337037 ;98,1323 
0,63 ;0,343348 ;98,0724 
0,64 ;0,349701 ;98,0115 
0,65 ;0,356096 ;97,9498 
0,66 ;0,362534 ;97,8871 
0,67 ;0,369016 ;97,8236 
0,68 ;0,375542 ;97,7591 
0,69 ;0,382112 ;97,6938 
0,7 ;0,388728 ;97,6276 
0,71 ;0,39539 ;97,5604 
0,72 ;0,402099 ;97,4924 
0,73 ;0,408855 ;97,4235 
0,74 ;0,415659 ;97,3537 
0,75 ;0,422512 ;97,2831 
0,76 ;0,429414 ;97,2115 
0,77 ;0,436365 ;97,1391 
0,78 ;0,443367 ;97,0658 
0,79 ;0,450419 ;96,9917 
0,8 ;0,457523 ;96,9166 
0,81 ;0,464679 ;96,8407 
0,82 ;0,471888 ;96,764 
0,83 ;0,479151 ;96,6864 
0,84 ;0,486467 ;96,6079 
0,85 ;0,493837 ;96,5286 
0,86 ;0,501263 ;96,4484 
0,87 ;0,508744 ;96,3673 
0,88 ;0,516282 ;96,2855 
0,89 ;0,523876 ;96,2028 
0,9 ;0,531527 ;96,1192 
0,91 ;0,539237 ;96,0348 
0,92 ;0,547005 ;95,9496 
0,93 ;0,554832 ;95,8635 
0,94 ;0,562719 ;95,7767 
0,95 ;0,570666 ;95,6889 
0,96 ;0,578674 ;95,6004 
0,97 ;0,586743 ;95,5111 
0,98 ;0,594874 ;95,4209 
0,99 ;0,603067 ;95,3299 
1 ;0,611323 ;95,2381 
1,01 ;0,619643 ;95,1456 
1,02 ;0,628027 ;95,0522 
1,03 ;0,636475 ;94,958 
1,04 ;0,644989 ;94,863 
1,05 ;0,653568 ;94,7672 
1,06 ;0,662214 ;94,6706 
1,07 ;0,670926 ;94,5733 
1,08 ;0,679706 ;94,4751 
1,09 ;0,688553 ;94,3762 
1,1 ;0,697469 ;94,2765 
1,11 ;0,706454 ;94,176 
1,12 ;0,715507 ;94,0747 
1,13 ;0,724631 ;93,9727 
1,14 ;0,733825 ;93,8699 
1,15 ;0,743091 ;93,7664 
1,16 ;0,752427 ;93,6621 
1,17 ;0,761836 ;93,557 
1,18 ;0,771316 ;93,4512 
1,19 ;0,78087 ;93,3447 
1,2 ;0,790497 ;93,2374 
1,21 ;0,800199 ;93,1293 
1,22 ;0,809974 ;93,0205 
1,23 ;0,819824 ;92,911 
1,24 ;0,82975 ;92,8008 
1,25 ;0,839752 ;92,6898 
1,26 ;0,84983 ;92,5781 
1,27 ;0,859985 ;92,4657 
1,28 ;0,870217 ;92,3526 
1,29 ;0,880527 ;92,2387 
1,3 ;0,890915 ;92,1241 
1,31 ;0,901381 ;92,0089 
1,32 ;0,911927 ;91,8929 
1,33 ;0,922553 ;91,7762 
1,34 ;0,933258 ;91,6588 
1,35 ;0,944044 ;91,5408 
1,36 ;0,954912 ;91,422 
1,37 ;0,96586 ;91,3026 
1,38 ;0,97689 ;91,1824 
1,39 ;0,988003 ;91,0616 
1,4 ;0,999199 ;90,9401 
1,41 ;1,01048 ;90,818 
1,42 ;1,02184 ;90,6951 
1,43 ;1,03329 ;90,5716 
1,44 ;1,04482 ;90,4475 
1,45 ;1,05643 ;90,3227 
1,46 ;1,06813 ;90,1972 
1,47 ;1,07992 ;90,071 
1,48 ;1,09179 ;89,9443 
1,49 ;1,10375 ;89,8168 
1,5 ;1,1158 ;89,6888 
1,51 ;1,12793 ;89,5601 
1,52 ;1,14015 ;89,4307 
1,53 ;1,15246 ;89,3007 
1,54 ;1,16486 ;89,1701 
1,55 ;1,17735 ;89,0389 
1,56 ;1,18993 ;88,9071 
1,57 ;1,20259 ;88,7746 
1,58 ;1,21535 ;88,6415 
1,59 ;1,2282 ;88,5078 
1,6 ;1,24114 ;88,3735 
1,61 ;1,25417 ;88,2386 
1,62 ;1,26729 ;88,1031 
1,63 ;1,2805 ;87,967 
1,64 ;1,29381 ;87,8303 
1,65 ;1,3072 ;87,693 
1,66 ;1,3207 ;87,5551 
1,67 ;1,33428 ;87,4166 
1,68 ;1,34796 ;87,2775 
1,69 ;1,36173 ;87,1379 
1,7 ;1,3756 ;86,9977 
1,71 ;1,38956 ;86,8569 
1,72 ;1,40362 ;86,7156 
1,73 ;1,41777 ;86,5737 
1,74 ;1,43202 ;86,4312 
1,75 ;1,44637 ;86,2882 
1,76 ;1,46081 ;86,1446 
1,77 ;1,47535 ;86,0005 
1,78 ;1,48999 ;85,8558 
1,79 ;1,50472 ;85,7105 
1,8 ;1,51955 ;85,5648 
1,81 ;1,53448 ;85,4185 
1,82 ;1,54951 ;85,2716 
1,83 ;1,56464 ;85,1243 
1,84 ;1,57987 ;84,9764 
1,85 ;1,59519 ;84,8279 
1,86 ;1,61062 ;84,679 
1,87 ;1,62615 ;84,5295 
1,88 ;1,64177 ;84,3795 
1,89 ;1,6575 ;84,229 
1,9 ;1,67333 ;84,078 
1,91 ;1,68926 ;83,9265 
1,92 ;1,70529 ;83,7745 
1,93 ;1,72142 ;83,622 
1,94 ;1,73766 ;83,469 
1,95 ;1,75399 ;83,3155 
1,96 ;1,77043 ;83,1615 
1,97 ;1,78698 ;83,007 
1,98 ;1,80362 ;82,852 
