x0_1;x0_2;x1_out;x2_out;norm_out;y_out;f_calls_out;x1_in;x2_in;norm_in;y_in;f_calls_in
1 ;3,37213 ;5,38269 ;2,40135 ;3,20101 ;4,00161 ;-0,189288;  514 ;2,11506 ;2,16488 ;3,02658 ;2,26398;  203 
2 ;2,45242 ;2,74955 ;3,19245 ;2,41266 ;4,00159 ;-0,189288;  511 ;2,04696 ;2,12977 ;2,95397 ;11,2483;  152 
3 ;2,90641 ;2,58597 ;2,68228 ;2,96944 ;4,00152 ;-0,189288;  513 ;2,15941 ;2,10204 ;3,01357 ;11,1771;  152 
4 ;3,21233 ;3,99251 ;2,60769 ;3,0431 ;4,00755 ;-0,189985;  107 ;2,01225 ;2,10434 ;2,91159 ;11,3271;  158 
5 ;2,71195 ;2,26186 ;2,95146 ;2,72153 ;4,0147 ;-0,190557;  103 ;2,11272 ;1,87527 ;2,82492 ;11,6791;  152 
6 ;1,82093 ;2,51505 ;2,6964 ;2,95595 ;4,00103 ;-0,189259;  564 ;1,98265 ;2,06939 ;2,86588 ;11,433;  150 
7 ;2,32461 ;3,20342 ;2,64693 ;3,00106 ;4,00157 ;-0,189288;  509 ;2,05143 ;2,14743 ;2,96982 ;2,2922;  203 
8 ;3,69807 ;2,66239 ;3,60977 ;1,77944 ;4,02453 ;-0,191072;  113 ;2,15364 ;2,09646 ;3,00555 ;55,7336;  103 
9 ;4,89866 ;5,37878 ;3,31192 ;2,24563 ;4,00146 ;-0,189288;  522 ;2,11028 ;2,14974 ;3,01242 ;11,1748;  158 
10 ;2,64371 ;3,91877 ;2,25909 ;3,30298 ;4,00165 ;-0,189287;  521 ;2,09987 ;2,14819 ;3,00403 ;11,1824;  150 
11 ;3,32696 ;2,07253 ;3,00611 ;2,64032 ;4,001 ;-0,189259;  564 ;2,00422 ;2,17626 ;2,95855 ;2,30644;  205 
12 ;4,91539 ;3,17766 ;3,02951 ;2,61347 ;4,00102 ;-0,189259;  568 ;2,15905 ;1,94103 ;2,90329 ;11,4303;  156 
13 ;1,93043 ;5,31603 ;2,71049 ;2,94385 ;4,00163 ;-0,189287;  515 ;2,06045 ;2,93148 ;3,58316 ;-0,0945653;  358 
14 ;5,43713 ;4,61399 ;1,59395 ;3,66947 ;4,00071 ;-0,189239;  667 ;2,16298 ;2,01777 ;2,95802 ;11,2701;  158 
