Czas;x1_sym;x2_sym;x1_exp;x2_exp
0;0;0;0;0
0,1;0,00227286;0,0112949;0;0
0,2;0,0207264;0,0390119;0;0
0,3;0,0546022;0,082599;0;0
0,4;0,10297;0,141312;0;0
0,5;0,164747;0,214228;0;0
0,6;0,238714;0,300268;0;0
0,7;0,323535;0,398211;0;0
0,8;0,417782;0,506715;0;0
0,9;0,51995;0,624342;0;0
1;0,628483;0,749573;0;0
1,1;0,741793;0,880835;0;1
1,2;0,858284;1,01652;0;1
1,3;0,976367;1,15502;0;1
1,4;1,09449;1,2947;0;1
1,5;1,21113;1,43401;1;1
1,6;1,32487;1,5714;1;1
1,7;1,43433;1,70541;1;2
1,8;1,53826;1,83465;1;2
1,9;1,63551;1,95785;1;2
2;1,72504;2,07383;1;2
2,1;1,80597;2,18154;1;2
2,2;1,87752;2,28007;1;2
2,3;1,93908;2,36864;1;3
2,4;1,99017;2,44661;1;3
2,5;2,03048;2,51352;2;3
2,6;2,05983;2,56903;2;3
2,7;2,07818;2,61296;2;3
2,8;2,08565;2,64528;2;3
2,9;2,08247;2,6661;2;3
3;2,06902;2,67566;2;3
3,1;2,04579;2,67436;2;3
3,2;2,01337;2,6627;2;3
3,3;1,97247;2,64128;2;3
3,4;1,92386;2,61083;2;3
3,5;1,86839;2,57214;2;3
3,6;1,80699;2,5261;2;3
3,7;1,7406;2,47364;2;3
3,8;1,67024;2,41575;2;3
3,9;1,59691;2,35346;2;3
4;1,52162;2,2878;1;3
4,1;1,4454;2,21984;1;3
4,2;1,36922;2,1506;1;2
4,3;1,29406;2,08112;1;2
4,4;1,22083;2,01238;1;2
4,5;1,15039;1,94533;1;2
4,6;1,08354;1,88086;1;2
4,7;1,02102;1,81981;1;2
4,8;0,963465;1,76292;1;2
4,9;0,911456;1,71089;1;1
5;0,86547;1,66429;1;1
5,1;0,825897;1,62364;1;1
5,2;0,79303;1,58934;0;1
5,3;0,767073;1,5617;0;1
5,4;0,748132;1,54095;0;1
5,5;0,736221;1,5272;0;1
5,6;0,731268;1,52048;0;1
5,7;0,73311;1,52072;0;1
5,8;0,741508;1,52777;0;1
5,9;0,756144;1,54139;0;1
6;0,776632;1,56126;0;1
6,1;0,802526;1,587;0;0
6,2;0,833324;1,61817;0;0
6,3;0,868476;1,65424;0;0
6,4;0,907398;1,69468;0;0
6,5;0,949474;1,73888;0;0
6,6;0,994069;1,78622;0;1
6,7;1,04054;1,83606;0;1
6,8;1,08822;1,88773;0;1
6,9;1,13648;1,94058;0;1
7;1,18469;1,99395;0;1
7,1;1,23223;2,04718;0;1
7,2;1,27851;2,09967;0;1
7,3;1,323;2,15081;0;1
7,4;1,36517;2,20004;0;1
7,5;1,40458;2,24684;0;1
7,6;1,44079;2,29074;1;1
7,7;1,47346;2,33131;1;1
7,8;1,50228;2,36818;1;1
7,9;1,527;2,40104;1;1
8;1,54744;2,42964;1;2
8,1;1,56347;2,45379;1;2
8,2;1,57503;2,47335;1;2
8,3;1,58211;2,48827;1;2
8,4;1,58476;2,49852;1;2
8,5;1,58309;2,50417;1;2
8,6;1,57725;2,50531;1;2
8,7;1,56745;2,50211;1;2
8,8;1,55393;2,49477;1;2
8,9;1,53699;2,48355;1;2
9;1,51694;2,46874;1;2
9,1;1,49414;2,45067;1;2
9,2;1,46895;2,42969;1;2
9,3;1,44178;2,4062;1;2
9,4;1,41304;2,3806;1;2
9,5;1,38312;2,35329;1;2
9,6;1,35245;2,32471;1;2
9,7;1,32144;2,29528;1;2
9,8;1,2905;2,26543;1;2
9,9;1,26;2,23556;1;2
10;1,23033;2,20608;1;2
10,1;1,20183;2,17738;1;2
10,2;1,17482;2,1498;1;2
10,3;1,14961;2,12369;1;2
10,4;1,12644;2,09935;1;2
