Sigma;i;x1;x2;f(x);Liczba_wywolan
0,01;1;8,26066e-05;0,000337121;3,83243e-06;2389
0,01;2;-0,00036394;-0,000382778;8,87444e-06;1862
0,01;3;0,000256973;-0,00021216;3,53253e-06;1487
0,01;4;-0,000368419;-0,000375966;8,81435e-06;1753
0,01;5;0,00012908;0,000166528;1,41221e-06;1219
0,01;6;3,15619e-05;-0,000110344;4,19017e-07;1679
0,01;7;4,29251e-05;0,000471987;7,14524e-06;2154
0,01;8;0,000137503;-0,000373713;5,04427e-06;1629
0,01;9;-0,000226373;-0,00030946;4,67657e-06;2181
0,01;10;0,000155573;0,000388216;5,56424e-06;1835
0,01;11;0,00021902;0,000237418;3,31909e-06;2448
0,01;12;0,00022599;-8,8974e-05;1,87648e-06;2854
0,01;13;0,000298604;7,22427e-05;3,00245e-06;2058
0,01;14;-0,000140543;5,61504e-05;7,28644e-07;1880
0,01;15;0,00051829;0,000113312;8,95371e-06;1664
0,01;16;-0,000409484;6,4092e-05;5,46468e-06;3248
0,01;17;-0,775083;7,09849e-10;0,620446;10020
0,01;18;-0,00011008;-4,83451e-05;4,59824e-07;3629
0,01;19;-0,000121972;0,000528622;9,36262e-06;2350
0,01;20;-0,000285045;0,000287186;5,20834e-06;1597
0,01;21;0,000509682;-0,000227064;9,90389e-06;1622
0,01;22;-0,000237283;0,000230513;3,4814e-06;1379
0,01;23;0,000478268;0,000212074;8,70725e-06;2067
0,01;24;0,000318394;-0,00017375;4,18521e-06;1722
0,01;25;0,000451203;-0,000140219;7,10173e-06;2162
0,01;26;0,000260453;8,59226e-05;2,39279e-06;1838
0,01;27;0,000267279;-0,000306053;5,25224e-06;1367
0,01;28;-0,000434912;0,000311413;9,10205e-06;1055
0,01;29;0,000277693;-0,000465416;9,34377e-06;1354
0,01;30;-0,000499967;0,000247599;9,90195e-06;2233
0,01;31;-0,000226953;0,000346114;5,44933e-06;1263
0,01;32;-0,000154914;-0,000382964;5,4289e-06;1938
0,01;33;0,000141568;0,000536918;9,80812e-06;1757
0,01;34;0,000194297;-0,00040201;6,34199e-06;986
0,01;35;0,000412231;0,000326252;8,79181e-06;1922
0,01;36;-0,000162389;-2,45199e-05;8,57997e-07;2296
0,01;37;0,000536124;-0,000115865;9,57052e-06;2322
0,01;38;0,000218676;6,27652e-06;1,52244e-06;4028
0,01;39;-0,000506537;-8,22824e-05;8,37749e-06;1991
0,01;40;0,000219475;0,000141579;2,16997e-06;1222
0,01;41;-0,000539264;0,000127349;9,76679e-06;1591
0,01;42;6,69757e-05;0,00052489;8,90699e-06;1333
0,01;43;9,37884e-05;-0,00040648;5,53585e-06;1459
0,01;44;1,35856e-06;-0,000386313;4,74751e-06;2166
0,01;45;-7,41132e-05;0,000144034;8,34681e-07;2979
0,01;46;0,000151221;0,00027009;3,04804e-06;1900
0,01;47;0,000494919;8,02726e-05;7,99698e-06;2184
0,01;48;-3,94062e-05;6,06744e-05;1,66507e-07;2276
0,01;49;-8,59806e-05;0,000128676;7,61886e-07;1226
0,01;50;-4,796e-05;-0,000318452;3,2992e-06;1172
0,01;51;1,05756e-05;0,000481726;7,38567e-06;1438
0,01;52;0,000107539;-9,35703e-05;6,46405e-07;1983
0,01;53;-0,00049293;6,50941e-05;7,86429e-06;1720
0,01;54;-0,000338538;9,28103e-05;3,91984e-06;1319
0,01;55;-0,000146423;0,00018353;1,75353e-06;1549
0,01;56;-0,775083;-9,21847e-10;0,620446;10020
0,01;57;2,62381e-05;0,000325753;3,39754e-06;1540
0,01;58;-0,000200577;0,000240004;3,11219e-06;2342
0,01;59;0,000314381;-0,000347976;6,99602e-06;1704
0,01;60;0,00017152;-0,000272669;3,30097e-06;1656
0,01;61;-0,775083;-1,24287e-09;0,620446;10020
0,01;62;-0,000524989;0,00015253;9,50769e-06;1920
0,01;63;-0,000433687;-0,000282321;8,51872e-06;1765
0,01;64;0,000260368;0,000233086;3,88481e-06;2786
0,01;65;0,000139336;-0,000282851;3,16266e-06;1527
0,01;66;-0,000198675;0,000448918;7,66648e-06;1086
0,01;67;-0,00037237;-3,7358e-05;4,45532e-06;2355
0,01;68;-0,000247307;0,000477812;9,20824e-06;1802
0,01;69;-2,93804e-05;-0,000410061;5,37653e-06;1499
0,01;70;-0,000376056;7,90183e-05;4,69732e-06;1903
0,01;71;-0,000231844;-0,000250707;3,70938e-06;1359
0,01;72;-0,000264827;-7,63253e-05;2,41635e-06;1417
0,01;73;-0,000149737;0,000376083;5,21257e-06;1344
0,01;74;-0,000356215;0,000156193;4,81258e-06;1503
0,01;75;-0,000316844;-5,97184e-05;3,30699e-06;1865
0,01;76;-0,000316216;0,000342606;6,91484e-06;2590
0,01;77;-0,000104763;0,000496919;8,20424e-06;1669
0,01;78;-0,000426592;0,000180916;6,83024e-06;4786
0,01;79;-0,00011755;0,000488767;8,03906e-06;2533
0,01;80;-6,41022e-10;0,775083;0,620446;10020
0,01;81;-0,000416928;0,000207042;6,89335e-06;1528
0,01;82;-0,000231604;0,000304602;4,6579e-06;2600
0,01;83;-0,000338614;-0,000414271;9,10692e-06;2253
0,01;84;4,61705e-05;-0,000495626;7,88207e-06;1641
0,01;85;-0,000324681;-0,000308608;6,38313e-06;1865
0,01;86;-1,70227e-05;1,89629e-05;2,06571e-08;1827
0,01;87;-0,000252439;0,00042459;7,762e-06;2165
0,01;88;0,000222003;0,000199535;2,83436e-06;1671
0,01;89;-0,000128015;6,07282e-05;6,38631e-07;1907
0,01;90;-0,000250212;0,000103526;2,33252e-06;1782
0,01;91;-0,000260897;0,000133325;2,73076e-06;1908
0,01;92;-0,000438047;0,000299355;8,95482e-06;1506
0,01;93;-0,000429128;-0,000325732;9,23329e-06;3636
0,01;94;0,000385377;0,000213753;6,17793e-06;1676
0,01;95;0,000327019;0,000231057;5,10026e-06;1093
0,01;96;8,0427e-05;0,000551325;9,87507e-06;1671
0,01;97;0,000130671;-0,000525492;9,32758e-06;1648
0,01;98;3,04702e-05;0,000421509;5,68142e-06;1648
0,01;99;0,000281604;0,000296237;5,31429e-06;2001
0,01;100;0,000160417;0,000511456;9,14002e-06;1451
0,1;1;-0,000107124;0,00040094;5,47879e-06;2062
0,1;2;-0,000370364;0,00025011;6,35347e-06;1278
0,1;3;9,64217e-05;-0,000323214;3,61898e-06;1828
0,1;4;0,000227767;0,000356527;5,69388e-06;1200
0,1;5;0,000344943;0,000289249;6,44656e-06;1475
0,1;6;-0,000263218;7,82429e-05;2,39875e-06;1220
0,1;7;-0,00047162;2,65343e-05;7,09802e-06;1125
0,1;8;-0,000177255;-0,000259616;3,14358e-06;1628
0,1;9;-5,18325e-05;-0,000120006;5,43594e-07;1275
0,1;10;-0,000443266;0,000244366;8,15002e-06;1187
0,1;11;4,09126e-05;7,38056e-05;2,26531e-07;1172
0,1;12;0,000216219;0,000102009;1,81822e-06;1153
0,1;13;-0,00043081;0,000308732;8,93619e-06;1726
0,1;14;-0,000201035;0,000501411;9,28341e-06;2243
0,1;15;6,24012e-06;-0,000141729;6,40234e-07;1773
0,1;16;-0,000154019;0,000443764;7,01911e-06;1908
0,1;17;0,000446422;-0,000305422;9,30717e-06;1999
0,1;18;0,000292235;-0,000309076;5,75558e-06;2248
0,1;19;2,93172e-05;-1,53751e-05;3,48616e-08;2702
0,1;20;-0,775083;3,57609e-10;0,620446;10020
0,1;21;6,74907e-05;0,000185329;1,23752e-06;1901
0,1;22;0,00026731;-0,00048067;9,62282e-06;1505
0,1;23;-0,00025491;0,000395176;7,03484e-06;1643
0,1;24;0,000272505;4,21935e-05;2,4189e-06;1503
0,1;25;0,000285402;0,000378456;7,14744e-06;1385
0,1;26;4,26558e-05;-0,000458892;6,75676e-06;2063
0,1;27;-1,46055e-05;3,70168e-06;7,22184e-09;2383
0,1;28;0,000174436;-1,49052e-05;9,75021e-07;858
0,1;29;0,000535206;-8,3636e-05;9,3347e-06;3187
0,1;30;0,000390864;0,000376664;9,37319e-06;1539
0,1;31;0,000156915;-5,43411e-05;8,77202e-07;1101
0,1;32;-0,000330219;0,000401596;8,59933e-06;1265
0,1;33;-0,00049155;8,65075e-05;7,92432e-06;1796
0,1;34;-0,000187393;0,000391724;5,99844e-06;1507
0,1;35;0,00013001;-0,000159748;1,34949e-06;1454
0,1;36;0,000423039;-0,000100206;6,01243e-06;1417
0,1;37;0,000295745;8,74748e-05;3,02579e-06;926
0,1;38;-0,000205103;-0,000326097;4,72099e-06;1651
0,1;39;3,79509e-05;-0,000327624;3,46035e-06;1106
0,1;40;1,36992e-05;-0,000108598;3,81136e-07;1745
0,1;41;0,000189174;0,000420723;6,76926e-06;1751
0,1;42;-0,00020126;0,000221105;2,8437e-06;1609
0,1;43;0,000400356;0,000242884;6,97549e-06;1369
0,1;44;-0,00044428;-5,35716e-05;6,37035e-06;1558
0,1;45;0,000315717;0,000219217;4,69957e-06;1237
0,1;46;0,000238705;-0,000339504;5,47926e-06;906
0,1;47;-6,2522e-05;-0,000417403;5,66666e-06;3533
0,1;48;0,000124066;0,000291029;3,184e-06;1551
