Lp;x0_1;x0_2;SD_x1;SD_x2;SD_y;SD_f_calls;SD_g_calls;SD_global;CG_x1;CG_x2;CG_y;CG_f_calls;CG_g_calls;CG_global;N_x1;N_x2;N_y;N_f_calls;N_g_calls;N_H_calls;N_global
1;1,85705;-0,66158;1,74666;-0,864651;0,298718;31;31;TAK;1,74742;-0,871828;0,298642;15;16;TAK;1,75851;-0,858712;0,299773;50;50;50;TAK
2;0,193915;-0,820887;0,00439705;-0,0106137;0,00010465;52;52;TAK;0,00100298;-0,00187697;3,65239e-06;20;21;TAK;0,00414611;-0,0183376;0,000294619;74;74;74;TAK
3;-0,784509;1,1904;-0,00423675;0,0102236;9,7107e-05;62;62;TAK;0,000895244;-0,000179835;1,47427e-06;20;21;TAK;-1,06455;0,55319;0,877721;71;71;71;TAK
4;-0,167913;-0,246773;0,00435765;-0,0107448;0,000106606;32;32;TAK;0,00121118;-0,00217218;5,02137e-06;15;16;TAK;-0,0101426;-0,0156562;0,000609644;54;54;54;TAK
5;1,8153;0,0571917;1,74664;-0,864416;0,298723;46;46;TAK;1,74738;-0,872228;0,298641;19;20;TAK;1,7492;-0,855035;0,299037;76;76;76;TAK
6;0,335276;-0,371532;0,00414864;-0,0100078;9,30598e-05;46;46;TAK;0,00120314;-0,00150478;3,34898e-06;18;19;TAK;0,011953;-0,014454;0,000321877;62;62;62;TAK
7;-0,0498672;-1,37083;0,00435267;-0,0105069;0,000102553;57;57;TAK;0,000407874;-0,00171662;2,57935e-06;21;22;TAK;-0,000668648;-0,0184413;0,000353307;84;84;84;TAK
8;-1,08444;1,31822;-1,74845;0,882967;0,29872;23;23;TAK;-1,7475;0,870927;0,298646;17;18;TAK;-1,07087;0,553788;0,877698;73;73;73;TAK
9;1,62828;0,235786;1,74663;-0,864366;0,298723;48;48;TAK;1,74728;-0,871978;0,298642;19;20;TAK;1,74618;-0,855749;0,29895;80;80;80;TAK
10;1,52501;1,14805;1,74666;-0,864641;0,298719;55;55;TAK;1,74739;-0,871491;0,298643;18;19;TAK;1,74657;-0,855338;0,298966;91;91;91;TAK
11;1,32823;1,07566;0,00441538;-0,010642;0,000105254;68;68;TAK;nan;nan;nan;10000;10001;NIE;1,07331;-0,516589;0,877747;87;87;87;TAK
12;-1,33738;0,333811;-1,74665;0,8646;0,298719;43;43;TAK;-1,74783;0,875689;0,298642;29;30;TAK;-1,08442;0,523266;0,877299;56;56;56;TAK
13;-0,736656;-1,07505;0,00428247;-0,0103546;9,95537e-05;49;49;TAK;-5,33697e-05;-0,00128297;1,72019e-06;21;22;TAK;-1,06766;0,517185;0,877621;87;87;87;TAK
14;-0,248238;0,350047;-0,00428535;0,0103385;9,93093e-05;44;44;TAK;-0,000896334;0,00167987;2,92307e-06;18;19;TAK;-0,0105355;0,0156763;0,00030257;60;60;60;TAK
15;-0,221503;0,446486;-0,0043043;0,010388;0,000100252;46;46;TAK;-0,00092394;0,00217963;4,44427e-06;18;19;TAK;-0,00778903;0,0164927;0,00026488;64;64;64;TAK
16;-0,287301;1,71068;-0,0043931;0,0106031;0,000104444;61;61;TAK;-0,0008001;0,00227437;4,63334e-06;21;22;TAK;-0,00281646;0,0185777;0,000308671;88;88;88;TAK
17;-0,495071;-0,775231;0,00434459;-0,0105096;0,000102542;46;46;TAK;-4,43333e-05;-0,00154525;2,46024e-06;20;21;TAK;-0,00687217;-0,0173021;0,000512717;76;76;76;TAK
18;1,35618;-0,709311;1,74669;-0,864997;0,298712;34;34;TAK;1,7473;-0,871655;0,298643;16;17;TAK;1,08663;-0,545273;0,876798;54;54;54;TAK
19;1,89819;-1,34629;1,7484;-0,882496;0,298711;40;40;TAK;1,74766;-0,875829;0,298643;17;18;TAK;1,75497;-0,890938;0,299145;66;66;66;TAK
20;-0,778893;1,31065;-0,00424987;0,0102554;9,77108e-05;63;63;TAK;-0,000897513;0,00361905;1,14605e-05;21;22;TAK;-1,06534;0,553368;0,877731;74;74;74;TAK
21;0,782556;-0,199774;0,0043975;-0,0105941;0,000104322;49;49;TAK;-0,000453378;-0,000721675;1,25911e-06;28;29;TAK;1,05939;-0,520406;0,877176;59;59;59;TAK
22;0,484085;1,11057;-0,00431117;0,0104119;0,000100693;52;52;TAK;1,52207e-05;0,0012916;1,68835e-06;21;22;TAK;0,00505902;0,0176313;0,000451247;82;82;82;TAK
23;1,53075;0,369335;1,74668;-0,864902;0,298714;50;50;TAK;1,74723;-0,871797;0,298642;19;20;TAK;1,7459;-0,855149;0,298971;81;81;81;TAK
24;0,562456;0,838221;-0,00417879;0,0101071;9,48423e-05;47;47;TAK;2,58632e-05;0,00167131;2,83784e-06;20;21;TAK;-1,76512;0,882864;0,300494;160;160;160;TAK
25;-1,50145;0,896695;-1,74657;0,866819;0,298686;9;9;TAK;-1,7471;0,871269;0,298645;10;11;TAK;-1,73564;0,887566;0,299838;39;39;39;TAK
26;1,03952;0,175604;0,0042955;-0,0103361;9,93389e-05;52;52;TAK;nan;nan;nan;10000;10001;NIE;1,06974;-0,516647;0,877692;71;71;71;TAK
27;1,34471;0,291208;1,74663;-0,864344;0,298724;50;50;TAK;1,74746;-0,871972;0,298642;18;19;TAK;1,07589;-0,517379;0,877722;75;75;75;TAK
28;-0,466384;1,23069;-0,00410848;0,00991606;9,13471e-05;59;59;TAK;-0,00125658;0,00190562;4,39481e-06;21;22;TAK;-0,00503724;0,0173864;0,000265456;82;82;82;TAK
29;0,856899;0,8558;-0,0041316;0,0101314;9,49255e-05;41;41;TAK;-0,00113958;0,000935891;2,40664e-06;17;18;TAK;1,06805;-0,516748;0,877646;84;84;84;TAK
30;-0,861904;-1,28306;0,00416053;-0,0100566;9,39139e-05;51;51;TAK;-2,54161e-05;-0,00147189;2,20516e-06;21;22;TAK;-1,06865;0,516483;0,877672;89;89;89;TAK
31;-1,08872;0,908658;-1,74667;0,864723;0,298717;40;40;TAK;nan;nan;nan;10000;10001;NIE;-1,07143;0,55338;0,877672;59;59;59;TAK
32;-0,942961;-1,4514;0,00424397;-0,0102569;9,76962e-05;52;52;TAK;0,000258946;-0,00240825;5,31019e-06;20;21;TAK;-1,06942;0,516647;0,877685;91;91;91;TAK
33;1,19065;-0,868862;1,74666;-0,86467;0,298718;33;33;TAK;nan;nan;nan;10000;10001;NIE;1,07671;-0,552316;0,877473;58;58;58;TAK
34;-1,94006;1,9729;-1,74842;0,882736;0,298716;48;48;TAK;-1,74781;0,875857;0,298643;19;20;TAK;-1,75245;0,891958;0,299027;81;81;81;TAK
35;1,28294;0,768151;0,00423069;-0,0102028;9,67296e-05;76;76;TAK;nan;nan;nan;10000;10001;NIE;1,07345;-0,516765;0,877741;83;83;83;TAK
36;0,383862;-1,63268;0,00436543;-0,0105362;0,000103129;61;61;TAK;0,00102917;-0,00234174;5,19209e-06;21;22;TAK;0,00360275;-0,018418;0,000298825;87;87;87;TAK
